REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2021/04/01 00:30:00,4508.54,35.71,TRADE
VIC1,2021/04/01 01:00:00,4388.29,33.72,TRADE
VIC1,2021/04/01 01:30:00,4286.05,31.45,TRADE
VIC1,2021/04/01 02:00:00,4179.32,30.52,TRADE
VIC1,2021/04/01 02:30:00,4092.88,29.38,TRADE
VIC1,2021/04/01 03:00:00,4049.88,28.62,TRADE
VIC1,2021/04/01 03:30:00,4036.49,28.73,TRADE
VIC1,2021/04/01 04:00:00,4081.64,29.97,TRADE
VIC1,2021/04/01 04:30:00,4193.66,34.66,TRADE
VIC1,2021/04/01 05:00:00,4363.42,34.64,TRADE
VIC1,2021/04/01 05:30:00,4690.09,33.11,TRADE
VIC1,2021/04/01 06:00:00,4935.74,36.56,TRADE
VIC1,2021/04/01 06:30:00,5367.77,50.07,TRADE
VIC1,2021/04/01 07:00:00,5544.69,54.21,TRADE
VIC1,2021/04/01 07:30:00,5384.6,38.03,TRADE
VIC1,2021/04/01 08:00:00,5223.82,29.88,TRADE
VIC1,2021/04/01 08:30:00,5050.99,24.09,TRADE
VIC1,2021/04/01 09:00:00,4888.09,21.71,TRADE
VIC1,2021/04/01 09:30:00,4638.5,25.29,TRADE
VIC1,2021/04/01 10:00:00,4512.06,21.65,TRADE
VIC1,2021/04/01 10:30:00,4413.99,17.45,TRADE
VIC1,2021/04/01 11:00:00,4365.94,16.87,TRADE
VIC1,2021/04/01 11:30:00,4316.08,18.34,TRADE
VIC1,2021/04/01 12:00:00,4276.05,11.79,TRADE
VIC1,2021/04/01 12:30:00,4264.19,12.17,TRADE
VIC1,2021/04/01 13:00:00,4352.66,23.27,TRADE
VIC1,2021/04/01 13:30:00,4408.1,31.58,TRADE
VIC1,2021/04/01 14:00:00,4501.17,30.30,TRADE
VIC1,2021/04/01 14:30:00,4666.62,30.67,TRADE
VIC1,2021/04/01 15:00:00,4800.98,31.83,TRADE
VIC1,2021/04/01 15:30:00,4991.59,34.61,TRADE
