REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
TAS1,2022/04/01 00:05:00,1088.69,71.41,TRADE
TAS1,2022/04/01 00:10:00,1091.43,71.73,TRADE
TAS1,2022/04/01 00:15:00,1089.15,71.73,TRADE
TAS1,2022/04/01 00:20:00,1090.55,48.08,TRADE
TAS1,2022/04/01 00:25:00,1084.33,44.02,TRADE
TAS1,2022/04/01 00:30:00,1077.48,35.56,TRADE
TAS1,2022/04/01 00:35:00,1097.29,47.35,TRADE
TAS1,2022/04/01 00:40:00,1088.69,36.93,TRADE
TAS1,2022/04/01 00:45:00,1083.22,47.35,TRADE
TAS1,2022/04/01 00:50:00,1080.51,47.35,TRADE
TAS1,2022/04/01 00:55:00,1085.17,47.35,TRADE
TAS1,2022/04/01 01:00:00,1100.06,47.35,TRADE
TAS1,2022/04/01 01:05:00,1098.61,48.08,TRADE
TAS1,2022/04/01 01:10:00,1105.76,48.08,TRADE
TAS1,2022/04/01 01:15:00,1101.49,71.99,TRADE
TAS1,2022/04/01 01:20:00,1101.18,48.08,TRADE
TAS1,2022/04/01 01:25:00,1093.45,21.61,TRADE
TAS1,2022/04/01 01:30:00,1084.82,48.08,TRADE
TAS1,2022/04/01 01:35:00,1089.99,72,TRADE
TAS1,2022/04/01 01:40:00,1083.91,51.59,TRADE
TAS1,2022/04/01 01:45:00,1079.04,23.05,TRADE
TAS1,2022/04/01 01:50:00,1082.96,-1.22,TRADE
TAS1,2022/04/01 01:55:00,1078.22,47.97,TRADE
TAS1,2022/04/01 02:00:00,1079.33,47.97,TRADE
TAS1,2022/04/01 02:05:00,1082.23,64.53,TRADE
TAS1,2022/04/01 02:10:00,1076.02,62.73,TRADE
TAS1,2022/04/01 02:15:00,1081.16,64.42,TRADE
TAS1,2022/04/01 02:20:00,1074.72,62.95,TRADE
TAS1,2022/04/01 02:25:00,1073.77,62.95,TRADE
TAS1,2022/04/01 02:30:00,1078.35,58.14,TRADE
TAS1,2022/04/01 02:35:00,1070.87,63.03,TRADE
TAS1,2022/04/01 02:40:00,1078.54,67.46,TRADE
TAS1,2022/04/01 02:45:00,1080.34,73.82,TRADE
TAS1,2022/04/01 02:50:00,1070.02,63.53,TRADE
TAS1,2022/04/01 02:55:00,1068.14,63.98,TRADE
TAS1,2022/04/01 03:00:00,1061.03,64.92,TRADE
TAS1,2022/04/01 03:05:00,1062.51,67.46,TRADE
TAS1,2022/04/01 03:10:00,1078.67,72.50,TRADE
TAS1,2022/04/01 03:15:00,1081.39,71.21,TRADE
TAS1,2022/04/01 03:20:00,1086.35,67.33,TRADE
TAS1,2022/04/01 03:25:00,1084.71,48.08,TRADE
TAS1,2022/04/01 03:30:00,1081.67,-1.65,TRADE
TAS1,2022/04/01 03:35:00,1081.56,47.35,TRADE
TAS1,2022/04/01 03:40:00,1084.17,47.35,TRADE
TAS1,2022/04/01 03:45:00,1081.53,32.83,TRADE
TAS1,2022/04/01 03:50:00,1080.92,4.40,TRADE
TAS1,2022/04/01 03:55:00,1080.44,-4.55,TRADE
TAS1,2022/04/01 04:00:00,1083.84,41.97,TRADE
TAS1,2022/04/01 04:05:00,1093.44,39.63,TRADE
TAS1,2022/04/01 04:10:00,1116.73,70.53,TRADE
TAS1,2022/04/01 04:15:00,1118.79,72.03,TRADE
TAS1,2022/04/01 04:20:00,1125.2,72.61,TRADE
TAS1,2022/04/01 04:25:00,1136.58,74.07,TRADE
TAS1,2022/04/01 04:30:00,1129.33,72.09,TRADE
TAS1,2022/04/01 04:35:00,1118.17,72.54,TRADE
TAS1,2022/04/01 04:40:00,1131.85,72.54,TRADE
TAS1,2022/04/01 04:45:00,1143.8,72.54,TRADE
TAS1,2022/04/01 04:50:00,1151.48,74.19,TRADE
TAS1,2022/04/01 04:55:00,1151.39,74.19,TRADE
TAS1,2022/04/01 05:00:00,1051.29,72.65,TRADE
TAS1,2022/04/01 05:05:00,1068.07,72.65,TRADE
TAS1,2022/04/01 05:10:00,1089.4,74.01,TRADE
TAS1,2022/04/01 05:15:00,1128.54,73.82,TRADE
TAS1,2022/04/01 05:20:00,1098.06,74.17,TRADE
TAS1,2022/04/01 05:25:00,1100.36,72.61,TRADE
TAS1,2022/04/01 05:30:00,1105.09,74.21,TRADE
TAS1,2022/04/01 05:35:00,1125.63,72.03,TRADE
TAS1,2022/04/01 05:40:00,1141.03,74.19,TRADE
TAS1,2022/04/01 05:45:00,1146.98,74.20,TRADE
TAS1,2022/04/01 05:50:00,1152.36,74.20,TRADE
TAS1,2022/04/01 05:55:00,1161.93,74.20,TRADE
TAS1,2022/04/01 06:00:00,1169.89,74.19,TRADE
TAS1,2022/04/01 06:05:00,1184.03,74.20,TRADE
TAS1,2022/04/01 06:10:00,1204.61,74.21,TRADE
TAS1,2022/04/01 06:15:00,1222.62,110.83,TRADE
TAS1,2022/04/01 06:20:00,1256.22,138.02,TRADE
TAS1,2022/04/01 06:25:00,1281.7,109.07,TRADE
TAS1,2022/04/01 06:30:00,1280.78,109.07,TRADE
TAS1,2022/04/01 06:35:00,1307.29,110.98,TRADE
TAS1,2022/04/01 06:40:00,1311.69,109.07,TRADE
TAS1,2022/04/01 06:45:00,1314.34,109.05,TRADE
TAS1,2022/04/01 06:50:00,1346.58,74.25,TRADE
TAS1,2022/04/01 06:55:00,1360.47,97.12,TRADE
TAS1,2022/04/01 07:00:00,1371.42,140.92,TRADE
TAS1,2022/04/01 07:05:00,1366.54,32.35,TRADE
TAS1,2022/04/01 07:10:00,1371.57,140.92,TRADE
TAS1,2022/04/01 07:15:00,1385.75,61.68,TRADE
TAS1,2022/04/01 07:20:00,1385.86,74.27,TRADE
TAS1,2022/04/01 07:25:00,1367.97,74.26,TRADE
TAS1,2022/04/01 07:30:00,1366.52,74.21,TRADE
TAS1,2022/04/01 07:35:00,1364.16,74.20,TRADE
TAS1,2022/04/01 07:40:00,1349.71,74.21,TRADE
TAS1,2022/04/01 07:45:00,1349.73,74.21,TRADE
TAS1,2022/04/01 07:50:00,1357.48,74.21,TRADE
TAS1,2022/04/01 07:55:00,1350.24,74.21,TRADE
TAS1,2022/04/01 08:00:00,1340.43,74.21,TRADE
TAS1,2022/04/01 08:05:00,1328.3,74.21,TRADE
TAS1,2022/04/01 08:10:00,1338.43,74.21,TRADE
TAS1,2022/04/01 08:15:00,1342.12,74.21,TRADE
TAS1,2022/04/01 08:20:00,1345.36,74.21,TRADE
TAS1,2022/04/01 08:25:00,1346.32,74.21,TRADE
TAS1,2022/04/01 08:30:00,1334.91,74.21,TRADE
TAS1,2022/04/01 08:35:00,1332.68,74.21,TRADE
TAS1,2022/04/01 08:40:00,1305.92,74.21,TRADE
TAS1,2022/04/01 08:45:00,1304.06,74.21,TRADE
TAS1,2022/04/01 08:50:00,1308.56,74.21,TRADE
TAS1,2022/04/01 08:55:00,1304.98,74.21,TRADE
TAS1,2022/04/01 09:00:00,1306.82,74.21,TRADE
TAS1,2022/04/01 09:05:00,1318.84,74.21,TRADE
TAS1,2022/04/01 09:10:00,1327.3,74.21,TRADE
TAS1,2022/04/01 09:15:00,1319.04,74.21,TRADE
TAS1,2022/04/01 09:20:00,1317.56,74.21,TRADE
TAS1,2022/04/01 09:25:00,1293.41,74.21,TRADE
TAS1,2022/04/01 09:30:00,1208.4,74.21,TRADE
TAS1,2022/04/01 09:35:00,1205.22,74.21,TRADE
TAS1,2022/04/01 09:40:00,1209.32,74.21,TRADE
TAS1,2022/04/01 09:45:00,1268.44,74.21,TRADE
TAS1,2022/04/01 09:50:00,1267.32,74.21,TRADE
TAS1,2022/04/01 09:55:00,1269.77,74.21,TRADE
TAS1,2022/04/01 10:00:00,1264.58,74.21,TRADE
TAS1,2022/04/01 10:05:00,1257.53,74.21,TRADE
TAS1,2022/04/01 10:10:00,1260.19,74.21,TRADE
TAS1,2022/04/01 10:15:00,1254.98,74.21,TRADE
