REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2024/09/01 00:05:00,5753.36,96.75,TRADE
QLD1,2024/09/01 00:10:00,5772.24,96.75,TRADE
QLD1,2024/09/01 00:15:00,5734.08,96.75,TRADE
QLD1,2024/09/01 00:20:00,5690.55,77.95,TRADE
QLD1,2024/09/01 00:25:00,5653.29,77.75,TRADE
QLD1,2024/09/01 00:30:00,5604.53,77.75,TRADE
QLD1,2024/09/01 00:35:00,5622.46,77.75,TRADE
QLD1,2024/09/01 00:40:00,5638.59,77.95,TRADE
QLD1,2024/09/01 00:45:00,5624.61,77.75,TRADE
QLD1,2024/09/01 00:50:00,5583.34,57.18,TRADE
QLD1,2024/09/01 00:55:00,5550.8,55.75,TRADE
QLD1,2024/09/01 01:00:00,5529.41,55.75,TRADE
QLD1,2024/09/01 01:05:00,5533.85,153.07,TRADE
QLD1,2024/09/01 01:10:00,5533.89,96.75,TRADE
QLD1,2024/09/01 01:15:00,5477.7,77.75,TRADE
QLD1,2024/09/01 01:20:00,5475.86,77.75,TRADE
QLD1,2024/09/01 01:25:00,5503.94,77.95,TRADE
QLD1,2024/09/01 01:30:00,5500.9,77.95,TRADE
QLD1,2024/09/01 01:35:00,5537.92,96.75,TRADE
QLD1,2024/09/01 01:40:00,5442.71,56.87,TRADE
QLD1,2024/09/01 01:45:00,5482.41,77.75,TRADE
QLD1,2024/09/01 01:50:00,5399.72,46.63,TRADE
QLD1,2024/09/01 01:55:00,5413.35,46.63,TRADE
QLD1,2024/09/01 02:00:00,5444.54,55.75,TRADE
QLD1,2024/09/01 02:05:00,5400.51,46.63,TRADE
QLD1,2024/09/01 02:10:00,5426.16,59.16,TRADE
QLD1,2024/09/01 02:15:00,5429.4,57.13,TRADE
QLD1,2024/09/01 02:20:00,5399.38,56.36,TRADE
QLD1,2024/09/01 02:25:00,5379.86,55.75,TRADE
QLD1,2024/09/01 02:30:00,5426.25,77.95,TRADE
QLD1,2024/09/01 02:35:00,5383.54,77.75,TRADE
QLD1,2024/09/01 02:40:00,5334.61,57.01,TRADE
QLD1,2024/09/01 02:45:00,5311.91,55.75,TRADE
QLD1,2024/09/01 02:50:00,5300.35,55.75,TRADE
QLD1,2024/09/01 02:55:00,5307.32,55.75,TRADE
QLD1,2024/09/01 03:00:00,5360.16,77.95,TRADE
QLD1,2024/09/01 03:05:00,5415.55,96.75,TRADE
QLD1,2024/09/01 03:10:00,5378.72,96.75,TRADE
QLD1,2024/09/01 03:15:00,5361.33,77.95,TRADE
QLD1,2024/09/01 03:20:00,5307.64,55.75,TRADE
QLD1,2024/09/01 03:25:00,5294.36,46.63,TRADE
QLD1,2024/09/01 03:30:00,5302.49,46.63,TRADE
QLD1,2024/09/01 03:35:00,5346.59,56.59,TRADE
QLD1,2024/09/01 03:40:00,5279.76,46.63,TRADE
QLD1,2024/09/01 03:45:00,5266.15,44.75,TRADE
QLD1,2024/09/01 03:50:00,5298.76,46.63,TRADE
QLD1,2024/09/01 03:55:00,5314.3,46.63,TRADE
QLD1,2024/09/01 04:00:00,5334.32,46.63,TRADE
QLD1,2024/09/01 04:05:00,5257.55,44.75,TRADE
QLD1,2024/09/01 04:10:00,5288.99,44.75,TRADE
QLD1,2024/09/01 04:15:00,5305.66,44.75,TRADE
QLD1,2024/09/01 04:20:00,5278.52,44.75,TRADE
QLD1,2024/09/01 04:25:00,5248.11,44.75,TRADE
QLD1,2024/09/01 04:30:00,5276.28,44.75,TRADE
QLD1,2024/09/01 04:35:00,5284.85,46.63,TRADE
QLD1,2024/09/01 04:40:00,5334.93,46.63,TRADE
QLD1,2024/09/01 04:45:00,5335.08,46.63,TRADE
QLD1,2024/09/01 04:50:00,5316.74,46.63,TRADE
QLD1,2024/09/01 04:55:00,5325,46.63,TRADE
QLD1,2024/09/01 05:00:00,5302.58,46.63,TRADE
QLD1,2024/09/01 05:05:00,5291.26,46.63,TRADE
QLD1,2024/09/01 05:10:00,5267.84,46.63,TRADE
QLD1,2024/09/01 05:15:00,5332.1,46.63,TRADE
QLD1,2024/09/01 05:20:00,5380.79,56.93,TRADE
QLD1,2024/09/01 05:25:00,5418.22,77.75,TRADE
QLD1,2024/09/01 05:30:00,5350.59,55.75,TRADE
QLD1,2024/09/01 05:35:00,5414.36,77.75,TRADE
QLD1,2024/09/01 05:40:00,5374.86,55.75,TRADE
QLD1,2024/09/01 05:45:00,5449.63,85.01,TRADE
QLD1,2024/09/01 05:50:00,5420.99,46.63,TRADE
QLD1,2024/09/01 05:55:00,5418.89,55.24,TRADE
QLD1,2024/09/01 06:00:00,5423.52,55.75,TRADE
QLD1,2024/09/01 06:05:00,5440.49,86.83,TRADE
QLD1,2024/09/01 06:10:00,5406.02,86.01,TRADE
QLD1,2024/09/01 06:15:00,5464.1,77.75,TRADE
QLD1,2024/09/01 06:20:00,5442.93,77.95,TRADE
QLD1,2024/09/01 06:25:00,5498.27,77.95,TRADE
QLD1,2024/09/01 06:30:00,5455.45,77.75,TRADE
QLD1,2024/09/01 06:35:00,5403.3,55.75,TRADE
QLD1,2024/09/01 06:40:00,5314.13,46.63,TRADE
QLD1,2024/09/01 06:45:00,5347.07,46.63,TRADE
QLD1,2024/09/01 06:50:00,5224.69,-18.89,TRADE
QLD1,2024/09/01 06:55:00,5177.76,0,TRADE
QLD1,2024/09/01 07:00:00,5178.01,46.63,TRADE
QLD1,2024/09/01 07:05:00,5122.67,19.58,TRADE
QLD1,2024/09/01 07:10:00,5090.15,-18.89,TRADE
QLD1,2024/09/01 07:15:00,5138.35,0,TRADE
QLD1,2024/09/01 07:20:00,5025.81,-35.64,TRADE
QLD1,2024/09/01 07:25:00,5030.59,-41.48,TRADE
QLD1,2024/09/01 07:30:00,5046.42,-40,TRADE
QLD1,2024/09/01 07:35:00,4935.87,-36.56,TRADE
QLD1,2024/09/01 07:40:00,4846.63,-41,TRADE
QLD1,2024/09/01 07:45:00,4822.34,-45.01,TRADE
QLD1,2024/09/01 07:50:00,4777.27,-44.33,TRADE
QLD1,2024/09/01 07:55:00,4741.18,-45.01,TRADE
QLD1,2024/09/01 08:00:00,4736.67,-44.18,TRADE
QLD1,2024/09/01 08:05:00,4697.02,-45.11,TRADE
QLD1,2024/09/01 08:10:00,4708.21,-45.11,TRADE
QLD1,2024/09/01 08:15:00,4631.18,-45.13,TRADE
QLD1,2024/09/01 08:20:00,4585.25,-45.97,TRADE
QLD1,2024/09/01 08:25:00,4540.07,-46.10,TRADE
QLD1,2024/09/01 08:30:00,4494.89,-46.10,TRADE
QLD1,2024/09/01 08:35:00,4464.6,-46.10,TRADE
QLD1,2024/09/01 08:40:00,4415.4,-46.74,TRADE
QLD1,2024/09/01 08:45:00,4383.12,-46.10,TRADE
QLD1,2024/09/01 08:50:00,4290.66,-46.74,TRADE
QLD1,2024/09/01 08:55:00,4268.52,-46.74,TRADE
QLD1,2024/09/01 09:00:00,4250.74,-46.74,TRADE
QLD1,2024/09/01 09:05:00,4145.04,-47.10,TRADE
QLD1,2024/09/01 09:10:00,4080.23,-47.10,TRADE
QLD1,2024/09/01 09:15:00,4110.42,-47.10,TRADE
QLD1,2024/09/01 09:20:00,4076.46,-47.10,TRADE
QLD1,2024/09/01 09:25:00,4032.92,-47.10,TRADE
QLD1,2024/09/01 09:30:00,4009.72,-47.10,TRADE
QLD1,2024/09/01 09:35:00,3934.52,-47.75,TRADE
QLD1,2024/09/01 09:40:00,3943.07,-47.75,TRADE
QLD1,2024/09/01 09:45:00,3842.54,-48.01,TRADE
QLD1,2024/09/01 09:50:00,3844.83,-48.01,TRADE
QLD1,2024/09/01 09:55:00,3826.38,-48.99,TRADE
QLD1,2024/09/01 10:00:00,3738.5,-50.42,TRADE
QLD1,2024/09/01 10:05:00,3765.01,-48.01,TRADE
QLD1,2024/09/01 10:10:00,3842.45,-48.01,TRADE
QLD1,2024/09/01 10:15:00,3810.67,-48.99,TRADE
QLD1,2024/09/01 10:20:00,3752.16,-48.99,TRADE
QLD1,2024/09/01 10:25:00,3829.91,-48.01,TRADE
QLD1,2024/09/01 10:30:00,3828.55,-50.42,TRADE
QLD1,2024/09/01 10:35:00,3784.5,-51.44,TRADE
QLD1,2024/09/01 10:40:00,3812.76,-48.36,TRADE
QLD1,2024/09/01 10:45:00,3848.92,-48.36,TRADE
QLD1,2024/09/01 10:50:00,3751.73,-51.63,TRADE
QLD1,2024/09/01 10:55:00,3875.68,-48.40,TRADE
QLD1,2024/09/01 11:00:00,3811.39,-48.45,TRADE
QLD1,2024/09/01 11:05:00,3749.03,-50.42,TRADE
QLD1,2024/09/01 11:10:00,3796.29,-48.99,TRADE
QLD1,2024/09/01 11:15:00,3838.77,-50.42,TRADE
QLD1,2024/09/01 11:20:00,3835.76,-50.42,TRADE
QLD1,2024/09/01 11:25:00,3944.14,-49.39,TRADE
QLD1,2024/09/01 11:30:00,3882.84,-50.42,TRADE
QLD1,2024/09/01 11:35:00,3918.01,-50.42,TRADE
QLD1,2024/09/01 11:40:00,3976,-50.42,TRADE
QLD1,2024/09/01 11:45:00,3947.92,-50.42,TRADE
QLD1,2024/09/01 11:50:00,3902.15,-50.42,TRADE
QLD1,2024/09/01 11:55:00,3928.22,-49.68,TRADE
QLD1,2024/09/01 12:00:00,3929.45,-49.70,TRADE
QLD1,2024/09/01 12:05:00,3905.75,-50.42,TRADE
QLD1,2024/09/01 12:10:00,3965.9,-50,TRADE
QLD1,2024/09/01 12:15:00,4003.1,-48.40,TRADE
QLD1,2024/09/01 12:20:00,3977.29,-48.99,TRADE
QLD1,2024/09/01 12:25:00,4017.07,-48.99,TRADE
QLD1,2024/09/01 12:30:00,3969.85,-50.42,TRADE
QLD1,2024/09/01 12:35:00,3979.98,-48.36,TRADE
QLD1,2024/09/01 12:40:00,3957.33,-50.01,TRADE
QLD1,2024/09/01 12:45:00,4041.47,-48.01,TRADE
QLD1,2024/09/01 12:50:00,4015.31,-48.99,TRADE
QLD1,2024/09/01 12:55:00,4093.66,-48.40,TRADE
QLD1,2024/09/01 13:00:00,4068,-48.99,TRADE
QLD1,2024/09/01 13:05:00,4127.97,-48.72,TRADE
QLD1,2024/09/01 13:10:00,4129.39,-48.40,TRADE
QLD1,2024/09/01 13:15:00,4259.42,-47.75,TRADE
QLD1,2024/09/01 13:20:00,4274.38,-47.75,TRADE
QLD1,2024/09/01 13:25:00,4367.08,-47.75,TRADE
QLD1,2024/09/01 13:30:00,4341.24,-47.75,TRADE
QLD1,2024/09/01 13:35:00,4400.4,-47.10,TRADE
QLD1,2024/09/01 13:40:00,4402.07,-47.10,TRADE
QLD1,2024/09/01 13:45:00,4512.77,-46.74,TRADE
QLD1,2024/09/01 13:50:00,4610.61,-46.10,TRADE
QLD1,2024/09/01 13:55:00,4660.05,-45.50,TRADE
QLD1,2024/09/01 14:00:00,4657.25,-45.50,TRADE
QLD1,2024/09/01 14:05:00,4764.32,-45.50,TRADE
QLD1,2024/09/01 14:10:00,4824.48,-45.11,TRADE
QLD1,2024/09/01 14:15:00,4871.11,-45.06,TRADE
QLD1,2024/09/01 14:20:00,4914.03,-45.01,TRADE
QLD1,2024/09/01 14:25:00,5034.94,-41.60,TRADE
QLD1,2024/09/01 14:30:00,5075.06,-41.48,TRADE
QLD1,2024/09/01 14:35:00,5121.97,-41,TRADE
QLD1,2024/09/01 14:40:00,5198.89,-41,TRADE
QLD1,2024/09/01 14:45:00,5315.11,-41,TRADE
QLD1,2024/09/01 14:50:00,5356.64,-41,TRADE
QLD1,2024/09/01 14:55:00,5438.1,-36.56,TRADE
QLD1,2024/09/01 15:00:00,5512.07,-35.64,TRADE
QLD1,2024/09/01 15:05:00,5627.48,-35.10,TRADE
QLD1,2024/09/01 15:10:00,5727.42,-35.10,TRADE
QLD1,2024/09/01 15:15:00,5807.62,-35.10,TRADE
QLD1,2024/09/01 15:20:00,5915.18,-35.10,TRADE
QLD1,2024/09/01 15:25:00,5972.75,-35.10,TRADE
QLD1,2024/09/01 15:30:00,6125.41,-25.82,TRADE
QLD1,2024/09/01 15:35:00,6129.23,-35.10,TRADE
QLD1,2024/09/01 15:40:00,6258.39,-34.89,TRADE
QLD1,2024/09/01 15:45:00,6415.01,-13.01,TRADE
QLD1,2024/09/01 15:50:00,6518.96,-35.10,TRADE
QLD1,2024/09/01 15:55:00,6577.42,-25.82,TRADE
QLD1,2024/09/01 16:00:00,6643.98,-12.88,TRADE
QLD1,2024/09/01 16:05:00,6692.65,-34.89,TRADE
QLD1,2024/09/01 16:10:00,6763.78,-25.82,TRADE
QLD1,2024/09/01 16:15:00,6828.02,-25.82,TRADE
QLD1,2024/09/01 16:20:00,6878.94,34.75,TRADE
QLD1,2024/09/01 16:25:00,6974.14,77.95,TRADE
QLD1,2024/09/01 16:30:00,7038.37,44.75,TRADE
QLD1,2024/09/01 16:35:00,7142.75,73.46,TRADE
QLD1,2024/09/01 16:40:00,7212.08,77.95,TRADE
QLD1,2024/09/01 16:45:00,7327.95,93.83,TRADE
QLD1,2024/09/01 16:50:00,7360.77,112.75,TRADE
QLD1,2024/09/01 16:55:00,7429.21,115.63,TRADE
QLD1,2024/09/01 17:00:00,7497.58,112.95,TRADE
QLD1,2024/09/01 17:05:00,7523.17,147.73,TRADE
QLD1,2024/09/01 17:10:00,7522.8,147.73,TRADE
QLD1,2024/09/01 17:15:00,7656.12,690,TRADE
QLD1,2024/09/01 17:20:00,7499.15,147.73,TRADE
QLD1,2024/09/01 17:25:00,7553.03,147.73,TRADE
QLD1,2024/09/01 17:30:00,7614.3,150,TRADE
QLD1,2024/09/01 17:35:00,7678.32,147.73,TRADE
QLD1,2024/09/01 17:40:00,7635.79,137,TRADE
QLD1,2024/09/01 17:45:00,7703.22,147.73,TRADE
