REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2026/02/01 00:05:00,8186.33,57.06,TRADE
NSW1,2026/02/01 00:10:00,8165.29,64.52,TRADE
NSW1,2026/02/01 00:15:00,8202.7,65.09,TRADE
NSW1,2026/02/01 00:20:00,8213.41,64.89,TRADE
NSW1,2026/02/01 00:25:00,8055.53,63.47,TRADE
NSW1,2026/02/01 00:30:00,8072.11,64.86,TRADE
NSW1,2026/02/01 00:35:00,7942.1,64.05,TRADE
NSW1,2026/02/01 00:40:00,7942.04,64.89,TRADE
NSW1,2026/02/01 00:45:00,7813.26,64.15,TRADE
NSW1,2026/02/01 00:50:00,7801.77,62.96,TRADE
NSW1,2026/02/01 00:55:00,7706.27,63.01,TRADE
NSW1,2026/02/01 01:00:00,7744.48,72.01,TRADE
NSW1,2026/02/01 01:05:00,7745.49,65.46,TRADE
NSW1,2026/02/01 01:10:00,7701.84,65.50,TRADE
NSW1,2026/02/01 01:15:00,7665.37,73.20,TRADE
NSW1,2026/02/01 01:20:00,7651.4,65.13,TRADE
NSW1,2026/02/01 01:25:00,7665.4,65.60,TRADE
NSW1,2026/02/01 01:30:00,7672.47,64.76,TRADE
NSW1,2026/02/01 01:35:00,7664.52,73.20,TRADE
NSW1,2026/02/01 01:40:00,7623.14,64.44,TRADE
NSW1,2026/02/01 01:45:00,7550.09,64.11,TRADE
NSW1,2026/02/01 01:50:00,7478.99,63.20,TRADE
NSW1,2026/02/01 01:55:00,7489.75,57.31,TRADE
NSW1,2026/02/01 02:00:00,7524.78,61.73,TRADE
NSW1,2026/02/01 02:05:00,7408.12,72.59,TRADE
NSW1,2026/02/01 02:10:00,7426.31,73.50,TRADE
NSW1,2026/02/01 02:15:00,7490.18,73.20,TRADE
NSW1,2026/02/01 02:20:00,7480.92,73.95,TRADE
NSW1,2026/02/01 02:25:00,7451.24,73.34,TRADE
NSW1,2026/02/01 02:30:00,7427.74,73.20,TRADE
NSW1,2026/02/01 02:35:00,7461.68,75.58,TRADE
NSW1,2026/02/01 02:40:00,7429.58,73.20,TRADE
NSW1,2026/02/01 02:45:00,7342.28,64.12,TRADE
NSW1,2026/02/01 02:50:00,7307.59,63.43,TRADE
NSW1,2026/02/01 02:55:00,7333.77,71.15,TRADE
NSW1,2026/02/01 03:00:00,7239.53,62.23,TRADE
NSW1,2026/02/01 03:05:00,7240.06,62.38,TRADE
NSW1,2026/02/01 03:10:00,7330.8,62.72,TRADE
NSW1,2026/02/01 03:15:00,7272.6,62.75,TRADE
NSW1,2026/02/01 03:20:00,7258.15,73.20,TRADE
NSW1,2026/02/01 03:25:00,7265.43,71.28,TRADE
NSW1,2026/02/01 03:30:00,7263.35,70.85,TRADE
NSW1,2026/02/01 03:35:00,7259.83,71.30,TRADE
NSW1,2026/02/01 03:40:00,7259.21,73.20,TRADE
NSW1,2026/02/01 03:45:00,7215.86,71.79,TRADE
NSW1,2026/02/01 03:50:00,7213.24,73.20,TRADE
NSW1,2026/02/01 03:55:00,7167.81,71.31,TRADE
NSW1,2026/02/01 04:00:00,7155.23,63.18,TRADE
NSW1,2026/02/01 04:05:00,7153.02,79.84,TRADE
NSW1,2026/02/01 04:10:00,7165.8,76.89,TRADE
NSW1,2026/02/01 04:15:00,7235.47,79.95,TRADE
NSW1,2026/02/01 04:20:00,7220.07,79.95,TRADE
NSW1,2026/02/01 04:25:00,7246.3,83.45,TRADE
NSW1,2026/02/01 04:30:00,7213.5,84.79,TRADE
NSW1,2026/02/01 04:35:00,7218.2,79.95,TRADE
NSW1,2026/02/01 04:40:00,7262.71,79.95,TRADE
NSW1,2026/02/01 04:45:00,7260.45,79.95,TRADE
NSW1,2026/02/01 04:50:00,7233.27,79.60,TRADE
NSW1,2026/02/01 04:55:00,7264.96,79.95,TRADE
NSW1,2026/02/01 05:00:00,7309.24,87.47,TRADE
NSW1,2026/02/01 05:05:00,7300.71,80.11,TRADE
NSW1,2026/02/01 05:10:00,7402.9,87.32,TRADE
NSW1,2026/02/01 05:15:00,7310.62,74.40,TRADE
NSW1,2026/02/01 05:20:00,7396.01,77.29,TRADE
NSW1,2026/02/01 05:25:00,7402.71,77.43,TRADE
NSW1,2026/02/01 05:30:00,7390.05,77.35,TRADE
NSW1,2026/02/01 05:35:00,7334.96,77.36,TRADE
NSW1,2026/02/01 05:40:00,7339.64,73.20,TRADE
