REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
TAS1,2021/11/01 00:05:00,1043.58,-4.76,TRADE
TAS1,2021/11/01 00:10:00,1044.21,-4.76,TRADE
TAS1,2021/11/01 00:15:00,1048.58,-4.76,TRADE
TAS1,2021/11/01 00:20:00,1048.59,-4.76,TRADE
TAS1,2021/11/01 00:25:00,1045.67,-4.76,TRADE
TAS1,2021/11/01 00:30:00,1048.06,-4.76,TRADE
TAS1,2021/11/01 00:35:00,1054.61,0.10,TRADE
TAS1,2021/11/01 00:40:00,1049.69,-4.76,TRADE
TAS1,2021/11/01 00:45:00,1039.54,-4.76,TRADE
TAS1,2021/11/01 00:50:00,1027.23,-4.76,TRADE
TAS1,2021/11/01 00:55:00,1021.11,-4.76,TRADE
TAS1,2021/11/01 01:00:00,1016.77,-4.76,TRADE
TAS1,2021/11/01 01:05:00,1037.9,-4.76,TRADE
TAS1,2021/11/01 01:10:00,1051.9,0.10,TRADE
TAS1,2021/11/01 01:15:00,1058.28,0.10,TRADE
TAS1,2021/11/01 01:20:00,1057.05,-4.76,TRADE
TAS1,2021/11/01 01:25:00,1054.08,-4.76,TRADE
TAS1,2021/11/01 01:30:00,1049.73,-4.76,TRADE
TAS1,2021/11/01 01:35:00,1053.65,0.10,TRADE
TAS1,2021/11/01 01:40:00,1040.19,-4.76,TRADE
TAS1,2021/11/01 01:45:00,1042.8,-4.76,TRADE
TAS1,2021/11/01 01:50:00,1050.89,-4.76,TRADE
TAS1,2021/11/01 01:55:00,1049.43,-4.76,TRADE
TAS1,2021/11/01 02:00:00,1051.09,-4.76,TRADE
TAS1,2021/11/01 02:05:00,1052.89,-4.76,TRADE
TAS1,2021/11/01 02:10:00,1053.46,30.08,TRADE
TAS1,2021/11/01 02:15:00,1055.23,30.08,TRADE
TAS1,2021/11/01 02:20:00,1057.81,30.08,TRADE
TAS1,2021/11/01 02:25:00,1056.76,30.08,TRADE
TAS1,2021/11/01 02:30:00,1068.62,30.30,TRADE
TAS1,2021/11/01 02:35:00,1060.9,30.28,TRADE
TAS1,2021/11/01 02:40:00,1059.81,30.06,TRADE
TAS1,2021/11/01 02:45:00,1055.01,0.12,TRADE
TAS1,2021/11/01 02:50:00,1043.86,0.12,TRADE
TAS1,2021/11/01 02:55:00,1045.67,30.06,TRADE
TAS1,2021/11/01 03:00:00,1043.63,30.06,TRADE
TAS1,2021/11/01 03:05:00,1043.57,30.06,TRADE
TAS1,2021/11/01 03:10:00,1028.06,0.12,TRADE
TAS1,2021/11/01 03:15:00,1026.47,-4.76,TRADE
TAS1,2021/11/01 03:20:00,1030.12,-4.76,TRADE
TAS1,2021/11/01 03:25:00,1033.3,-4.76,TRADE
TAS1,2021/11/01 03:30:00,1031.01,-4.76,TRADE
TAS1,2021/11/01 03:35:00,1030.28,-4.76,TRADE
TAS1,2021/11/01 03:40:00,1044.21,30.06,TRADE
TAS1,2021/11/01 03:45:00,1047.7,7.64,TRADE
TAS1,2021/11/01 03:50:00,1057.32,30.06,TRADE
TAS1,2021/11/01 03:55:00,1058.78,30.06,TRADE
TAS1,2021/11/01 04:00:00,1074.17,30.32,TRADE
TAS1,2021/11/01 04:05:00,1074.7,30.08,TRADE
TAS1,2021/11/01 04:10:00,1079.43,0.24,TRADE
TAS1,2021/11/01 04:15:00,1078.51,0.24,TRADE
TAS1,2021/11/01 04:20:00,1080.66,0.24,TRADE
TAS1,2021/11/01 04:25:00,1090.43,0.26,TRADE
TAS1,2021/11/01 04:30:00,1090.92,0.26,TRADE
TAS1,2021/11/01 04:35:00,1088.79,0.26,TRADE
TAS1,2021/11/01 04:40:00,1097.63,0.26,TRADE
TAS1,2021/11/01 04:45:00,1105.18,0.26,TRADE
TAS1,2021/11/01 04:50:00,1113.31,24.28,TRADE
TAS1,2021/11/01 04:55:00,1117.16,20.28,TRADE
TAS1,2021/11/01 05:00:00,1118.1,21.83,TRADE
TAS1,2021/11/01 05:05:00,1100.16,0.26,TRADE
TAS1,2021/11/01 05:10:00,1124.97,24.28,TRADE
TAS1,2021/11/01 05:15:00,1133.22,24.28,TRADE
TAS1,2021/11/01 05:20:00,1146.61,24.28,TRADE
TAS1,2021/11/01 05:25:00,1155.93,24.28,TRADE
TAS1,2021/11/01 05:30:00,1163.36,24.28,TRADE
TAS1,2021/11/01 05:35:00,1168.53,24.28,TRADE
TAS1,2021/11/01 05:40:00,1181.06,24.28,TRADE
TAS1,2021/11/01 05:45:00,1185.91,24.28,TRADE
TAS1,2021/11/01 05:50:00,1183.94,30.30,TRADE
TAS1,2021/11/01 05:55:00,1193.53,30.30,TRADE
TAS1,2021/11/01 06:00:00,1205.76,30.30,TRADE
TAS1,2021/11/01 06:05:00,1179.83,30.30,TRADE
TAS1,2021/11/01 06:10:00,1195.45,30.30,TRADE
TAS1,2021/11/01 06:15:00,1204.41,30.30,TRADE
TAS1,2021/11/01 06:20:00,1206.84,30.30,TRADE
TAS1,2021/11/01 06:25:00,1219.81,30.32,TRADE
TAS1,2021/11/01 06:30:00,1221.01,30.32,TRADE
TAS1,2021/11/01 06:35:00,1235.85,30.32,TRADE
TAS1,2021/11/01 06:40:00,1243.57,30.32,TRADE
TAS1,2021/11/01 06:45:00,1213.42,30.30,TRADE
TAS1,2021/11/01 06:50:00,1222.75,30.32,TRADE
TAS1,2021/11/01 06:55:00,1233.1,30.32,TRADE
TAS1,2021/11/01 07:00:00,1239.85,30.32,TRADE
TAS1,2021/11/01 07:05:00,1240.81,30.32,TRADE
TAS1,2021/11/01 07:10:00,1240.86,30.32,TRADE
TAS1,2021/11/01 07:15:00,1250.59,30.32,TRADE
TAS1,2021/11/01 07:20:00,1237.24,30.32,TRADE
TAS1,2021/11/01 07:25:00,1228.05,30.32,TRADE
TAS1,2021/11/01 07:30:00,1220.32,30.32,TRADE
TAS1,2021/11/01 07:35:00,1213.36,30.32,TRADE
TAS1,2021/11/01 07:40:00,1212.83,30.32,TRADE
TAS1,2021/11/01 07:45:00,1206.86,30.32,TRADE
TAS1,2021/11/01 07:50:00,1202.4,30.30,TRADE
TAS1,2021/11/01 07:55:00,1207.55,30.30,TRADE
TAS1,2021/11/01 08:00:00,1191.28,30.06,TRADE
