REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2021/11/01 00:05:00,4411.91,216.50,TRADE
VIC1,2021/11/01 00:10:00,4383.24,125.33,TRADE
VIC1,2021/11/01 00:15:00,4364.77,94.60,TRADE
VIC1,2021/11/01 00:20:00,4274.94,72.39,TRADE
VIC1,2021/11/01 00:25:00,4300.09,70.72,TRADE
VIC1,2021/11/01 00:30:00,4239.08,69.68,TRADE
VIC1,2021/11/01 00:35:00,4226.2,75.53,TRADE
VIC1,2021/11/01 00:40:00,4253.57,78.72,TRADE
VIC1,2021/11/01 00:45:00,4244.45,75.60,TRADE
VIC1,2021/11/01 00:50:00,4169.73,70.99,TRADE
VIC1,2021/11/01 00:55:00,4237.54,73.58,TRADE
VIC1,2021/11/01 01:00:00,4252.16,73.55,TRADE
VIC1,2021/11/01 01:05:00,4218.72,74.52,TRADE
VIC1,2021/11/01 01:10:00,4230.13,75.15,TRADE
VIC1,2021/11/01 01:15:00,4125.61,71.91,TRADE
VIC1,2021/11/01 01:20:00,4115.32,60.53,TRADE
VIC1,2021/11/01 01:25:00,4128.6,72.99,TRADE
VIC1,2021/11/01 01:30:00,4094.12,60,TRADE
VIC1,2021/11/01 01:35:00,4102.23,67.14,TRADE
VIC1,2021/11/01 01:40:00,4064.41,60,TRADE
VIC1,2021/11/01 01:45:00,4069.9,64.54,TRADE
VIC1,2021/11/01 01:50:00,4059.13,60.20,TRADE
VIC1,2021/11/01 01:55:00,4037.5,60.50,TRADE
VIC1,2021/11/01 02:00:00,4018.15,65.73,TRADE
VIC1,2021/11/01 02:05:00,3955.8,65.35,TRADE
VIC1,2021/11/01 02:10:00,3964.84,61.65,TRADE
VIC1,2021/11/01 02:15:00,4001.69,60,TRADE
VIC1,2021/11/01 02:20:00,3968.6,60.82,TRADE
VIC1,2021/11/01 02:25:00,3954.83,60,TRADE
VIC1,2021/11/01 02:30:00,3958.63,60.15,TRADE
VIC1,2021/11/01 02:35:00,3923,64.72,TRADE
VIC1,2021/11/01 02:40:00,3936.73,64.10,TRADE
VIC1,2021/11/01 02:45:00,3928.48,60,TRADE
VIC1,2021/11/01 02:50:00,3873.05,60,TRADE
VIC1,2021/11/01 02:55:00,3885.14,60,TRADE
VIC1,2021/11/01 03:00:00,3944.18,64.32,TRADE
VIC1,2021/11/01 03:05:00,3912.24,70.65,TRADE
VIC1,2021/11/01 03:10:00,3934.09,64.54,TRADE
VIC1,2021/11/01 03:15:00,3936.22,71.83,TRADE
VIC1,2021/11/01 03:20:00,3942.03,64.96,TRADE
VIC1,2021/11/01 03:25:00,3935.8,71.29,TRADE
VIC1,2021/11/01 03:30:00,3920.6,71.89,TRADE
VIC1,2021/11/01 03:35:00,3948.9,67.96,TRADE
VIC1,2021/11/01 03:40:00,3894.51,64.93,TRADE
VIC1,2021/11/01 03:45:00,3893.15,94.98,TRADE
VIC1,2021/11/01 03:50:00,3875.83,69.86,TRADE
VIC1,2021/11/01 03:55:00,3971.09,70.26,TRADE
VIC1,2021/11/01 04:00:00,3942.72,99.81,TRADE
VIC1,2021/11/01 04:05:00,4002.33,60.80,TRADE
VIC1,2021/11/01 04:10:00,4051.13,77.89,TRADE
VIC1,2021/11/01 04:15:00,4068.82,121.91,TRADE
VIC1,2021/11/01 04:20:00,4080.36,78.72,TRADE
VIC1,2021/11/01 04:25:00,4033.72,123.58,TRADE
VIC1,2021/11/01 04:30:00,4058.59,236.09,TRADE
VIC1,2021/11/01 04:35:00,4092.3,60,TRADE
VIC1,2021/11/01 04:40:00,4072.06,60,TRADE
VIC1,2021/11/01 04:45:00,4137.27,66.70,TRADE
VIC1,2021/11/01 04:50:00,4184.17,62.39,TRADE
VIC1,2021/11/01 04:55:00,4168.24,66.17,TRADE
VIC1,2021/11/01 05:00:00,4246.05,66.49,TRADE
VIC1,2021/11/01 05:05:00,4372.29,69.09,TRADE
VIC1,2021/11/01 05:10:00,4412.28,76.66,TRADE
VIC1,2021/11/01 05:15:00,4419.21,78.56,TRADE
VIC1,2021/11/01 05:20:00,4379.99,75.20,TRADE
VIC1,2021/11/01 05:25:00,4452.53,77.70,TRADE
VIC1,2021/11/01 05:30:00,4491.92,82.47,TRADE
VIC1,2021/11/01 05:35:00,4564.68,77.14,TRADE
VIC1,2021/11/01 05:40:00,4591.17,120.15,TRADE
VIC1,2021/11/01 05:45:00,4563.01,77.10,TRADE
VIC1,2021/11/01 05:50:00,4592.77,77.78,TRADE
VIC1,2021/11/01 05:55:00,4675.48,79.65,TRADE
VIC1,2021/11/01 06:00:00,4697.48,115,TRADE
VIC1,2021/11/01 06:05:00,4761.99,100.96,TRADE
VIC1,2021/11/01 06:10:00,4847.03,100.96,TRADE
VIC1,2021/11/01 06:15:00,4790.14,76.33,TRADE
VIC1,2021/11/01 06:20:00,4767.63,75.18,TRADE
VIC1,2021/11/01 06:25:00,4779.59,77.31,TRADE
VIC1,2021/11/01 06:30:00,4849.1,100.96,TRADE
VIC1,2021/11/01 06:35:00,4815.82,115,TRADE
VIC1,2021/11/01 06:40:00,4870.7,212.13,TRADE
VIC1,2021/11/01 06:45:00,4883.82,81.67,TRADE
VIC1,2021/11/01 06:50:00,4858.09,76.34,TRADE
VIC1,2021/11/01 06:55:00,4830.57,70.98,TRADE
VIC1,2021/11/01 07:00:00,4860.86,68.17,TRADE
VIC1,2021/11/01 07:05:00,4642,60,TRADE
VIC1,2021/11/01 07:10:00,4525.58,60,TRADE
VIC1,2021/11/01 07:15:00,4551.95,60,TRADE
VIC1,2021/11/01 07:20:00,4534.99,53.22,TRADE
VIC1,2021/11/01 07:25:00,4489.52,59.12,TRADE
VIC1,2021/11/01 07:30:00,4409.92,51.31,TRADE
VIC1,2021/11/01 07:35:00,4406.47,55.01,TRADE
VIC1,2021/11/01 07:40:00,4360.09,59.70,TRADE
VIC1,2021/11/01 07:45:00,4269.76,50,TRADE
VIC1,2021/11/01 07:50:00,4223.08,54.28,TRADE
VIC1,2021/11/01 07:55:00,4167.05,60,TRADE
VIC1,2021/11/01 08:00:00,4168.41,60,TRADE
VIC1,2021/11/01 08:05:00,4160.33,61.90,TRADE
VIC1,2021/11/01 08:10:00,4132.16,62.94,TRADE
VIC1,2021/11/01 08:15:00,4132.21,62.19,TRADE
VIC1,2021/11/01 08:20:00,4075.89,60,TRADE
VIC1,2021/11/01 08:25:00,4045.49,58.61,TRADE
VIC1,2021/11/01 08:30:00,3980.95,52.27,TRADE
VIC1,2021/11/01 08:35:00,3884.61,50,TRADE
VIC1,2021/11/01 08:40:00,3837.57,45.48,TRADE
VIC1,2021/11/01 08:45:00,3888.73,44.16,TRADE
VIC1,2021/11/01 08:50:00,3807.16,39.92,TRADE
VIC1,2021/11/01 08:55:00,3685.97,17.85,TRADE
VIC1,2021/11/01 09:00:00,3725.35,26.84,TRADE
VIC1,2021/11/01 09:05:00,3706.21,17.51,TRADE
VIC1,2021/11/01 09:10:00,3626.03,17.85,TRADE
VIC1,2021/11/01 09:15:00,3509.92,9.21,TRADE
VIC1,2021/11/01 09:20:00,3457.5,8.95,TRADE
VIC1,2021/11/01 09:25:00,3445.28,0.30,TRADE
VIC1,2021/11/01 09:30:00,3402.71,0.27,TRADE
VIC1,2021/11/01 09:35:00,3380.25,0.20,TRADE
VIC1,2021/11/01 09:40:00,3318.59,0.27,TRADE
VIC1,2021/11/01 09:45:00,3266.16,0.25,TRADE
VIC1,2021/11/01 09:50:00,3275.17,0.27,TRADE
VIC1,2021/11/01 09:55:00,3302.09,8.95,TRADE
VIC1,2021/11/01 10:00:00,3266.38,8.95,TRADE
VIC1,2021/11/01 10:05:00,3195.03,4.86,TRADE
VIC1,2021/11/01 10:10:00,3185.61,0.25,TRADE
VIC1,2021/11/01 10:15:00,3236.4,8.95,TRADE
VIC1,2021/11/01 10:20:00,3182.93,0.16,TRADE
VIC1,2021/11/01 10:25:00,3164.09,0.14,TRADE
VIC1,2021/11/01 10:30:00,3150.57,0.16,TRADE
VIC1,2021/11/01 10:35:00,3166.39,0.27,TRADE
VIC1,2021/11/01 10:40:00,3123.55,8.95,TRADE
VIC1,2021/11/01 10:45:00,3102.54,8.95,TRADE
VIC1,2021/11/01 10:50:00,3024.47,0.20,TRADE
VIC1,2021/11/01 10:55:00,3045.1,0.02,TRADE
VIC1,2021/11/01 11:00:00,3086.28,0.18,TRADE
VIC1,2021/11/01 11:05:00,3058.51,0.02,TRADE
VIC1,2021/11/01 11:10:00,3052.88,9.21,TRADE
VIC1,2021/11/01 11:15:00,3063.16,9.21,TRADE
VIC1,2021/11/01 11:20:00,3045.39,0.14,TRADE
VIC1,2021/11/01 11:25:00,2946.59,-10.50,TRADE
VIC1,2021/11/01 11:30:00,2959.29,-10.50,TRADE
VIC1,2021/11/01 11:35:00,2936.82,8.95,TRADE
VIC1,2021/11/01 11:40:00,3031.79,8.95,TRADE
VIC1,2021/11/01 11:45:00,3044.74,0.02,TRADE
VIC1,2021/11/01 11:50:00,3010.23,0.02,TRADE
VIC1,2021/11/01 11:55:00,3034.73,-4.89,TRADE
VIC1,2021/11/01 12:00:00,3024.76,0.02,TRADE
VIC1,2021/11/01 12:05:00,3004.35,0,TRADE
VIC1,2021/11/01 12:10:00,2968.26,-20.89,TRADE
VIC1,2021/11/01 12:15:00,2929.38,-15.03,TRADE
VIC1,2021/11/01 12:20:00,2950,-18.70,TRADE
VIC1,2021/11/01 12:25:00,2952.1,-10.50,TRADE
VIC1,2021/11/01 12:30:00,2957.18,-10.50,TRADE
VIC1,2021/11/01 12:35:00,2990.12,8.95,TRADE
VIC1,2021/11/01 12:40:00,3014.82,0.14,TRADE
VIC1,2021/11/01 12:45:00,2942.7,8.95,TRADE
VIC1,2021/11/01 12:50:00,3025.48,19.72,TRADE
VIC1,2021/11/01 12:55:00,3041.47,8.95,TRADE
VIC1,2021/11/01 13:00:00,3024.47,8.95,TRADE
VIC1,2021/11/01 13:05:00,3055.99,9.21,TRADE
VIC1,2021/11/01 13:10:00,3021.26,8.95,TRADE
VIC1,2021/11/01 13:15:00,3031.54,8.95,TRADE
VIC1,2021/11/01 13:20:00,3076.52,9.21,TRADE
VIC1,2021/11/01 13:25:00,3109.34,9.21,TRADE
VIC1,2021/11/01 13:30:00,3093.49,8.95,TRADE
VIC1,2021/11/01 13:35:00,3150.8,9.21,TRADE
VIC1,2021/11/01 13:40:00,3174.17,8.95,TRADE
VIC1,2021/11/01 13:45:00,3178.82,0.27,TRADE
VIC1,2021/11/01 13:50:00,3150.21,8.95,TRADE
VIC1,2021/11/01 13:55:00,3127.7,8.95,TRADE
VIC1,2021/11/01 14:00:00,3217.76,8.95,TRADE
VIC1,2021/11/01 14:05:00,3160.73,9.21,TRADE
VIC1,2021/11/01 14:10:00,3201.58,8.95,TRADE
VIC1,2021/11/01 14:15:00,3255.17,9.21,TRADE
VIC1,2021/11/01 14:20:00,3242.34,6.80,TRADE
VIC1,2021/11/01 14:25:00,3270.95,18.73,TRADE
VIC1,2021/11/01 14:30:00,3224.21,8.95,TRADE
VIC1,2021/11/01 14:35:00,3315.6,9.21,TRADE
VIC1,2021/11/01 14:40:00,3389.65,9.21,TRADE
VIC1,2021/11/01 14:45:00,3354.47,17.85,TRADE
VIC1,2021/11/01 14:50:00,3438.41,9.21,TRADE
VIC1,2021/11/01 14:55:00,3400.92,9.21,TRADE
VIC1,2021/11/01 15:00:00,3427.25,8.95,TRADE
VIC1,2021/11/01 15:05:00,3449.88,9.21,TRADE
VIC1,2021/11/01 15:10:00,3450.26,9.18,TRADE
VIC1,2021/11/01 15:15:00,3462.3,8.95,TRADE
VIC1,2021/11/01 15:20:00,3507.2,9.21,TRADE
VIC1,2021/11/01 15:25:00,3571.42,15.74,TRADE
VIC1,2021/11/01 15:30:00,3677.5,17.85,TRADE
VIC1,2021/11/01 15:35:00,3736.85,25.72,TRADE
VIC1,2021/11/01 15:40:00,3817.12,26.37,TRADE
VIC1,2021/11/01 15:45:00,3898.21,33.66,TRADE
VIC1,2021/11/01 15:50:00,3901.61,26.64,TRADE
VIC1,2021/11/01 15:55:00,3965.18,26.77,TRADE
VIC1,2021/11/01 16:00:00,3996.46,33.41,TRADE
VIC1,2021/11/01 16:05:00,3952.57,32.58,TRADE
VIC1,2021/11/01 16:10:00,4020.43,45.23,TRADE
VIC1,2021/11/01 16:15:00,4066.47,59.25,TRADE
VIC1,2021/11/01 16:20:00,4117.12,59.59,TRADE
VIC1,2021/11/01 16:25:00,4124.76,60,TRADE
VIC1,2021/11/01 16:30:00,4200.63,60,TRADE
VIC1,2021/11/01 16:35:00,4286.24,66.93,TRADE
VIC1,2021/11/01 16:40:00,4292.85,65.72,TRADE
VIC1,2021/11/01 16:45:00,4326.22,60,TRADE
VIC1,2021/11/01 16:50:00,4384.54,60,TRADE
VIC1,2021/11/01 16:55:00,4440.55,70.20,TRADE
VIC1,2021/11/01 17:00:00,4473.03,70.98,TRADE
