REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
TAS1,2022-09-01 00:30:00,983.745,71.27,TRADE
TAS1,2022-09-01 01:00:00,966.0483333333333,71.26,TRADE
TAS1,2022-09-01 01:30:00,964.3016666666666,81.27000000000001,TRADE
TAS1,2022-09-01 02:00:00,990.5933333333332,87.775,TRADE
TAS1,2022-09-01 02:30:00,970.2566666666667,82.025,TRADE
TAS1,2022-09-01 03:00:00,976.3816666666667,83.14,TRADE
TAS1,2022-09-01 03:30:00,965.7600000000001,88.42,TRADE
TAS1,2022-09-01 04:00:00,955.0033333333334,87.52000000000001,TRADE
TAS1,2022-09-01 04:30:00,994.0233333333334,88.83500000000001,TRADE
TAS1,2022-09-01 05:00:00,998.3316666666666,149.17000000000002,TRADE
TAS1,2022-09-01 05:30:00,1042.44,158.53,TRADE
TAS1,2022-09-01 06:00:00,1077.915,80.70500000000001,TRADE
TAS1,2022-09-01 06:30:00,1151.8766666666668,80.065,TRADE
TAS1,2022-09-01 07:00:00,1256.2316666666668,181.645,TRADE
TAS1,2022-09-01 07:30:00,1327.9433333333334,174.45999999999998,TRADE
TAS1,2022-09-01 08:00:00,1298.4366666666667,99.53,TRADE
TAS1,2022-09-01 08:30:00,1304.205,114.03,TRADE
TAS1,2022-09-01 09:00:00,1308.27,131.075,TRADE
TAS1,2022-09-01 09:30:00,1295.9583333333333,115.95,TRADE
TAS1,2022-09-01 10:00:00,1249.5316666666668,79.26,TRADE
TAS1,2022-09-01 10:30:00,1250.0249999999999,79.8,TRADE
TAS1,2022-09-01 11:00:00,1247.81,139.67000000000002,TRADE
TAS1,2022-09-01 11:30:00,1238.4216666666666,177.56,TRADE
TAS1,2022-09-01 12:00:00,1215.8783333333333,177.96499999999997,TRADE
TAS1,2022-09-01 12:30:00,1252.4833333333333,167.185,TRADE
TAS1,2022-09-01 13:00:00,1227.6783333333333,165.095,TRADE
TAS1,2022-09-01 13:30:00,1255.01,181.695,TRADE
TAS1,2022-09-01 14:00:00,1255.1483333333333,134.18,TRADE
TAS1,2022-09-01 14:30:00,1246.0983333333334,162.575,TRADE
TAS1,2022-09-01 15:00:00,1224.8333333333333,106.11000000000001,TRADE
TAS1,2022-09-01 15:30:00,1262.0016666666668,163.92000000000002,TRADE
TAS1,2022-09-01 16:00:00,1241.5016666666668,96.94,TRADE
TAS1,2022-09-01 16:30:00,1300.19,146.43,TRADE
TAS1,2022-09-01 17:00:00,1312.605,146.43,TRADE
TAS1,2022-09-01 17:30:00,1392.0466666666669,272.975,TRADE
TAS1,2022-09-01 18:00:00,1427.7883333333332,275.15999999999997,TRADE
TAS1,2022-09-01 18:30:00,1447.5716666666667,271.855,TRADE
TAS1,2022-09-01 19:00:00,1441.4399999999998,171.72,TRADE
