REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2024-05-01 00:30:00,5716.701666666667,87.64,TRADE
QLD1,2024-05-01 01:00:00,5660.071666666667,85.57499999999999,TRADE
QLD1,2024-05-01 01:30:00,5560.691666666667,60.245000000000005,TRADE
QLD1,2024-05-01 02:00:00,5513.616666666666,75.855,TRADE
QLD1,2024-05-01 02:30:00,5479.231666666667,80.19999999999999,TRADE
QLD1,2024-05-01 03:00:00,5455.286666666667,63.540000000000006,TRADE
QLD1,2024-05-01 03:30:00,5420.945000000001,74.36500000000001,TRADE
QLD1,2024-05-01 04:00:00,5477.816666666667,85.55,TRADE
QLD1,2024-05-01 04:30:00,5527.586666666666,85.65,TRADE
QLD1,2024-05-01 05:00:00,5629.266666666666,79.58000000000001,TRADE
QLD1,2024-05-01 05:30:00,5794.03,92.615,TRADE
QLD1,2024-05-01 06:00:00,6038.251666666667,100.75,TRADE
QLD1,2024-05-01 06:30:00,6287.245,121.105,TRADE
QLD1,2024-05-01 07:00:00,6410.856666666667,164.485,TRADE
QLD1,2024-05-01 07:30:00,6290.288333333334,138.85,TRADE
QLD1,2024-05-01 08:00:00,5987.116666666666,68.53,TRADE
QLD1,2024-05-01 08:30:00,5601.651666666666,-10.4,TRADE
QLD1,2024-05-01 09:00:00,5155.295,-20.5,TRADE
QLD1,2024-05-01 09:30:00,4813.006666666667,-20.5,TRADE
QLD1,2024-05-01 10:00:00,4584.593333333333,-30.985,TRADE
QLD1,2024-05-01 10:30:00,4423.95,-43.715,TRADE
QLD1,2024-05-01 11:00:00,4469.368333333333,-45.035,TRADE
QLD1,2024-05-01 11:30:00,4579.028333333333,-25.4,TRADE
QLD1,2024-05-01 12:00:00,4636.048333333333,-20.5,TRADE
QLD1,2024-05-01 12:30:00,4784.5,-20.5,TRADE
QLD1,2024-05-01 13:00:00,4917.195,-10.8,TRADE
QLD1,2024-05-01 13:30:00,4975.483333333334,-10.8,TRADE
QLD1,2024-05-01 14:00:00,5084.121666666667,50.379999999999995,TRADE
QLD1,2024-05-01 14:30:00,5394.181666666666,43.955,TRADE
QLD1,2024-05-01 15:00:00,5746.065,38.55,TRADE
QLD1,2024-05-01 15:30:00,6019.736666666667,47.230000000000004,TRADE
QLD1,2024-05-01 16:00:00,6490.441666666667,54.075,TRADE
QLD1,2024-05-01 16:30:00,6813.378333333333,80.315,TRADE
QLD1,2024-05-01 17:00:00,7201.653333333333,144.20999999999998,TRADE
QLD1,2024-05-01 17:30:00,7442.711666666666,274.38,TRADE
QLD1,2024-05-01 18:00:00,7733.751666666667,244.23,TRADE
QLD1,2024-05-01 18:30:00,7696.18,138.975,TRADE
QLD1,2024-05-01 19:00:00,7637.003333333333,138.97,TRADE
QLD1,2024-05-01 19:30:00,7405.139999999999,119.41999999999999,TRADE
QLD1,2024-05-01 20:00:00,7212.3516666666665,116.875,TRADE
QLD1,2024-05-01 20:30:00,7073.650000000001,145.53500000000003,TRADE
QLD1,2024-05-01 21:00:00,6872.788333333333,141.785,TRADE
QLD1,2024-05-01 21:30:00,6688.3983333333335,114.38,TRADE
QLD1,2024-05-01 22:00:00,6512.759999999999,103.24000000000001,TRADE
QLD1,2024-05-01 22:30:00,6327.3533333333335,108.99,TRADE
QLD1,2024-05-01 23:00:00,6183.829999999999,130.48000000000002,TRADE
QLD1,2024-05-01 23:30:00,6046.419999999999,103.78999999999999,TRADE
QLD1,2024-05-02 00:00:00,5894.458333333333,85.75,TRADE
QLD1,2024-05-02 00:30:00,5793.408333333333,100.75,TRADE
QLD1,2024-05-02 01:00:00,5610.365000000001,83.80000000000001,TRADE
QLD1,2024-05-02 01:30:00,5541.738333333334,59.230000000000004,TRADE
QLD1,2024-05-02 02:00:00,5513.155,59.55,TRADE
QLD1,2024-05-02 02:30:00,5487.286666666667,59.675,TRADE
QLD1,2024-05-02 03:00:00,5448.625,59.675,TRADE
QLD1,2024-05-02 03:30:00,5487.108333333334,59.65,TRADE
QLD1,2024-05-02 04:00:00,5513.861666666667,73.25999999999999,TRADE
QLD1,2024-05-02 04:30:00,5593.855,73.66,TRADE
QLD1,2024-05-02 05:00:00,5694.63,67.94,TRADE
QLD1,2024-05-02 05:30:00,5856.568333333333,74.695,TRADE
QLD1,2024-05-02 06:00:00,6026.505,103.625,TRADE
QLD1,2024-05-02 06:30:00,6311.136666666666,116.845,TRADE
QLD1,2024-05-02 07:00:00,6499.900000000001,164.435,TRADE
QLD1,2024-05-02 07:30:00,6424.713333333333,81.57,TRADE
