REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2024-07-01 00:30:00,1580.0933333333332,294.315,TRADE
SA1,2024-07-01 01:00:00,1592.9033333333334,313.58500000000004,TRADE
SA1,2024-07-01 01:30:00,1536.295,269.445,TRADE
SA1,2024-07-01 02:00:00,1509.26,276.375,TRADE
SA1,2024-07-01 02:30:00,1482.0866666666668,225.94,TRADE
SA1,2024-07-01 03:00:00,1438.8616666666667,223.995,TRADE
SA1,2024-07-01 03:30:00,1414.4399999999998,224.66,TRADE
SA1,2024-07-01 04:00:00,1393.1000000000001,224.715,TRADE
SA1,2024-07-01 04:30:00,1424.381666666667,278.155,TRADE
SA1,2024-07-01 05:00:00,1438.5916666666665,299.44,TRADE
SA1,2024-07-01 05:30:00,1453.6666666666667,299.725,TRADE
SA1,2024-07-01 06:00:00,1489.2933333333333,271.96000000000004,TRADE
SA1,2024-07-01 06:30:00,1547.9866666666667,286.445,TRADE
SA1,2024-07-01 07:00:00,1671.005,300.0,TRADE
SA1,2024-07-01 07:30:00,1762.67,326.40999999999997,TRADE
SA1,2024-07-01 08:00:00,1946.6683333333333,380.21000000000004,TRADE
SA1,2024-07-01 08:30:00,2033.3500000000001,382.995,TRADE
SA1,2024-07-01 09:00:00,2023.5649999999998,418.28999999999996,TRADE
SA1,2024-07-01 09:30:00,1899.0666666666666,226.89999999999998,TRADE
SA1,2024-07-01 10:00:00,1760.2166666666665,269.45,TRADE
SA1,2024-07-01 10:30:00,1603.9016666666666,281.65999999999997,TRADE
SA1,2024-07-01 11:00:00,1488.1566666666668,225.45499999999998,TRADE
SA1,2024-07-01 11:30:00,1396.99,175.98,TRADE
SA1,2024-07-01 12:00:00,1371.345,178.64499999999998,TRADE
SA1,2024-07-01 12:30:00,1436.5733333333335,232.42,TRADE
SA1,2024-07-01 13:00:00,1492.42,259.79499999999996,TRADE
SA1,2024-07-01 13:30:00,1529.495,288.745,TRADE
SA1,2024-07-01 14:00:00,1497.0166666666667,274.635,TRADE
SA1,2024-07-01 14:30:00,1466.9383333333335,226.37,TRADE
SA1,2024-07-01 15:00:00,1549.0033333333333,350.25,TRADE
SA1,2024-07-01 15:30:00,1656.9883333333335,300.0,TRADE
SA1,2024-07-01 16:00:00,1661.9866666666667,266.63,TRADE
SA1,2024-07-01 16:30:00,1720.7783333333334,270.685,TRADE
