REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2024-02-01 00:30:00,4331.991666666667,53.715,TRADE
VIC1,2024-02-01 01:00:00,4216.7716666666665,55.515,TRADE
VIC1,2024-02-01 01:30:00,4126.253333333333,56.42,TRADE
VIC1,2024-02-01 02:00:00,4071.3366666666666,58.5,TRADE
VIC1,2024-02-01 02:30:00,4053.5183333333334,58.245000000000005,TRADE
VIC1,2024-02-01 03:00:00,3989.101666666667,54.585,TRADE
VIC1,2024-02-01 03:30:00,4002.5266666666666,55.82,TRADE
VIC1,2024-02-01 04:00:00,4010.1283333333336,51.28,TRADE
VIC1,2024-02-01 04:30:00,4152.086666666667,64.305,TRADE
VIC1,2024-02-01 05:00:00,4296.815,59.425,TRADE
VIC1,2024-02-01 05:30:00,4477.735,73.70500000000001,TRADE
VIC1,2024-02-01 06:00:00,4731.973333333333,86.285,TRADE
VIC1,2024-02-01 06:30:00,4947.765,72.565,TRADE
VIC1,2024-02-01 07:00:00,4994.599999999999,40.775,TRADE
VIC1,2024-02-01 07:30:00,4794.923333333333,-19.99,TRADE
VIC1,2024-02-01 08:00:00,4597.998333333334,-21.65,TRADE
VIC1,2024-02-01 08:30:00,4489.888333333333,-22.27,TRADE
VIC1,2024-02-01 09:00:00,4346.386666666666,-28.4,TRADE
VIC1,2024-02-01 09:30:00,4178.573333333334,-32.425,TRADE
VIC1,2024-02-01 10:00:00,4030.8849999999998,-48.265,TRADE
VIC1,2024-02-01 10:30:00,3822.168333333333,-46.985,TRADE
VIC1,2024-02-01 11:00:00,3557.1299999999997,-50.2,TRADE
VIC1,2024-02-01 11:30:00,3311.498333333333,-54.46,TRADE
VIC1,2024-02-01 12:00:00,3170.403333333333,-77.275,TRADE
VIC1,2024-02-01 12:30:00,3135.0616666666665,-110.24,TRADE
VIC1,2024-02-01 13:00:00,3137.763333333333,-100.12,TRADE
VIC1,2024-02-01 13:30:00,3157.146666666667,-62.97,TRADE
VIC1,2024-02-01 14:00:00,3214.3050000000003,-62.93,TRADE
VIC1,2024-02-01 14:30:00,3197.241666666667,-77.275,TRADE
