REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,1/01/2015 0:00,6272.46,47.1,TRADE
QLD1,1/01/2015 0:30,6062.18,45.85,TRADE
QLD1,1/01/2015 1:00,5953.53,44.65,TRADE
QLD1,1/01/2015 1:30,5784.95,34.24,TRADE
QLD1,1/01/2015 2:00,5640.2,31.91,TRADE
QLD1,1/01/2015 2:30,5562.55,29.95,TRADE
QLD1,1/01/2015 3:00,5466.28,28.5,TRADE
QLD1,1/01/2015 3:30,5393.31,27.52,TRADE
QLD1,1/01/2015 4:00,5329.91,27.58,TRADE
QLD1,1/01/2015 4:30,5341.62,25.43,TRADE
QLD1,1/01/2015 5:00,5304.85,24.99,TRADE
QLD1,1/01/2015 5:30,5257.01,23.31,TRADE
QLD1,1/01/2015 6:00,5285.44,21.58,TRADE
QLD1,1/01/2015 6:30,5365.88,23.31,TRADE
QLD1,1/01/2015 7:00,5478.84,24.2,TRADE
QLD1,1/01/2015 7:30,5629.67,26.44,TRADE
QLD1,1/01/2015 8:00,5764.55,26.65,TRADE
QLD1,1/01/2015 8:30,5937.4,28.2,TRADE
QLD1,1/01/2015 9:00,6042.13,30.38,TRADE
QLD1,1/01/2015 9:30,6148.56,31.68,TRADE
QLD1,1/01/2015 10:00,6260.04,33.42,TRADE
QLD1,1/01/2015 10:30,6323.59,35.8,TRADE
QLD1,1/01/2015 11:00,6425.48,42.41,TRADE
QLD1,1/01/2015 11:30,6465.58,37.78,TRADE
QLD1,1/01/2015 12:00,6471.27,38.64,TRADE
QLD1,1/01/2015 12:30,6555.5,36.28,TRADE
QLD1,1/01/2015 13:00,6638.53,39.51,TRADE
QLD1,1/01/2015 13:30,6699.1,42.16,TRADE
QLD1,1/01/2015 14:00,6768,87.28,TRADE
QLD1,1/01/2015 14:30,6780.05,201.31,TRADE
QLD1,1/01/2015 15:00,6845.2,180.73,TRADE
QLD1,1/01/2015 15:30,6921.05,252.94,TRADE
QLD1,1/01/2015 16:00,7073.98,286.36,TRADE
QLD1,1/01/2015 16:30,7135.12,281.8,TRADE
QLD1,1/01/2015 17:00,7203.26,287.03,TRADE
QLD1,1/01/2015 17:30,7199.16,284.1,TRADE
QLD1,1/01/2015 18:00,7188.55,128.15,TRADE
QLD1,1/01/2015 18:30,7149.07,90.3,TRADE
QLD1,1/01/2015 19:00,7186.98,52.06,TRADE
QLD1,1/01/2015 19:30,7237.55,64.23,TRADE
QLD1,1/01/2015 20:00,7275.09,161.12,TRADE
QLD1,1/01/2015 20:30,7156.44,59.21,TRADE
QLD1,1/01/2015 21:00,6915.81,32.4,TRADE
QLD1,1/01/2015 21:30,6785.01,39.88,TRADE
QLD1,1/01/2015 22:00,6634.49,38.99,TRADE
QLD1,1/01/2015 22:30,6504.87,38.96,TRADE
QLD1,1/01/2015 23:00,6283.46,37.1,TRADE
QLD1,1/01/2015 23:30,6152.58,38.03,TRADE
QLD1,2/01/2015 0:00,5951.04,35.05,TRADE
QLD1,2/01/2015 0:30,5773.08,36.93,TRADE
QLD1,2/01/2015 1:00,5613.66,34.98,TRADE
QLD1,2/01/2015 1:30,5469.95,30,TRADE
QLD1,2/01/2015 2:00,5341.7,29.63,TRADE
QLD1,2/01/2015 2:30,5279.48,26.67,TRADE
QLD1,2/01/2015 3:00,5284.09,31.31,TRADE
QLD1,2/01/2015 3:30,5247.36,35.75,TRADE
QLD1,2/01/2015 4:00,5226.39,32.9,TRADE
QLD1,2/01/2015 4:30,5281.77,29.78,TRADE
QLD1,2/01/2015 5:00,5299.36,25.71,TRADE
QLD1,2/01/2015 5:30,5327.24,26.3,TRADE
QLD1,2/01/2015 6:00,5380.39,27.02,TRADE
QLD1,2/01/2015 6:30,5584.14,33.3,TRADE
QLD1,2/01/2015 7:00,5794.75,34.82,TRADE
QLD1,2/01/2015 7:30,6036.12,36.03,TRADE
QLD1,2/01/2015 8:00,6170.81,37.99,TRADE
QLD1,2/01/2015 8:30,6354.65,120.4,TRADE
QLD1,2/01/2015 9:00,6502.62,44.74,TRADE
QLD1,2/01/2015 9:30,6558.09,49.37,TRADE
QLD1,2/01/2015 10:00,6597.75,172.21,TRADE
QLD1,2/01/2015 10:30,6659.97,271.25,TRADE
QLD1,2/01/2015 11:00,6667.24,253.42,TRADE
QLD1,2/01/2015 11:30,6664.2,138.33,TRADE
QLD1,2/01/2015 12:00,6705.33,211.16,TRADE
QLD1,2/01/2015 12:30,6686.96,278.65,TRADE
QLD1,2/01/2015 13:00,6771.48,285.06,TRADE
QLD1,2/01/2015 13:30,6856.8,283.55,TRADE
QLD1,2/01/2015 14:00,6898.66,283.99,TRADE
QLD1,2/01/2015 14:30,7038.27,283.24,TRADE
QLD1,2/01/2015 15:00,7087.51,283.79,TRADE
QLD1,2/01/2015 15:30,7057.15,126.29,TRADE
QLD1,2/01/2015 16:00,7066.72,144.12,TRADE
QLD1,2/01/2015 16:30,7169.6,170.99,TRADE
QLD1,2/01/2015 17:00,7204.49,158.23,TRADE
QLD1,2/01/2015 17:30,7273.14,66.21,TRADE
QLD1,2/01/2015 18:00,7148.46,53.47,TRADE
QLD1,2/01/2015 18:30,7026.22,53.9,TRADE
QLD1,2/01/2015 19:00,7105.85,51.91,TRADE
QLD1,2/01/2015 19:30,7183.71,83.12,TRADE
QLD1,2/01/2015 20:00,7159.67,45.95,TRADE
QLD1,2/01/2015 20:30,7037.59,53.17,TRADE
QLD1,2/01/2015 21:00,6869.47,53.62,TRADE
QLD1,2/01/2015 21:30,6757.29,50.01,TRADE
QLD1,2/01/2015 22:00,6572.76,35.89,TRADE
QLD1,2/01/2015 22:30,6412.54,41.86,TRADE
QLD1,2/01/2015 23:00,6267.36,49.75,TRADE
QLD1,2/01/2015 23:30,6110.91,48.87,TRADE
QLD1,3/01/2015 0:00,5919.43,40.92,TRADE
QLD1,3/01/2015 0:30,5686.87,41.73,TRADE
QLD1,3/01/2015 1:00,5530.8,37.05,TRADE
QLD1,3/01/2015 1:30,5390.71,33.52,TRADE
QLD1,3/01/2015 2:00,5249.73,32.3,TRADE
QLD1,3/01/2015 2:30,5181.53,29.08,TRADE
QLD1,3/01/2015 3:00,5150.21,28.11,TRADE
QLD1,3/01/2015 3:30,5127.4,30.93,TRADE
QLD1,3/01/2015 4:00,5139.02,25.23,TRADE
QLD1,3/01/2015 4:30,5169.27,27.57,TRADE
QLD1,3/01/2015 5:00,5162.69,28.09,TRADE
QLD1,3/01/2015 5:30,5179.07,21.57,TRADE
QLD1,3/01/2015 6:00,5202.38,24.51,TRADE
QLD1,3/01/2015 6:30,5299.83,26.87,TRADE
QLD1,3/01/2015 7:00,5424.16,27.44,TRADE
QLD1,3/01/2015 7:30,5636.03,30.3,TRADE
QLD1,3/01/2015 8:00,5744.15,33.19,TRADE
QLD1,3/01/2015 8:30,5900.12,37.51,TRADE
QLD1,3/01/2015 9:00,6046.88,44.21,TRADE
QLD1,3/01/2015 9:30,6129.66,41.95,TRADE
QLD1,3/01/2015 10:00,6155.37,39.16,TRADE
QLD1,3/01/2015 10:30,6177.28,42.93,TRADE
QLD1,3/01/2015 11:00,6172.79,41.41,TRADE
QLD1,3/01/2015 11:30,6135.89,37.54,TRADE
QLD1,3/01/2015 12:00,6170.18,37.73,TRADE
QLD1,3/01/2015 12:30,6119.05,34.82,TRADE
QLD1,3/01/2015 13:00,6133.01,36.83,TRADE
QLD1,3/01/2015 13:30,6176.35,37.55,TRADE
QLD1,3/01/2015 14:00,6209.8,37.89,TRADE
QLD1,3/01/2015 14:30,6249.04,39.02,TRADE
QLD1,3/01/2015 15:00,6252.93,39.34,TRADE
QLD1,3/01/2015 15:30,6279.75,40.7,TRADE
