REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,1/01/2015 0:00,1573.62,46.73,TRADE
SA1,1/01/2015 0:30,1434.88,45.99,TRADE
SA1,1/01/2015 1:00,1375.9,44.57,TRADE
SA1,1/01/2015 1:30,1277.34,36.58,TRADE
SA1,1/01/2015 2:00,1206.07,36.84,TRADE
SA1,1/01/2015 2:30,1141.95,32.8,TRADE
SA1,1/01/2015 3:00,1099.92,30.8,TRADE
SA1,1/01/2015 3:30,1095.92,29.94,TRADE
SA1,1/01/2015 4:00,1107.06,29.9,TRADE
SA1,1/01/2015 4:30,1099.9,26.36,TRADE
SA1,1/01/2015 5:00,1118.93,23.84,TRADE
SA1,1/01/2015 5:30,1143.32,18.31,TRADE
SA1,1/01/2015 6:00,1128.97,18.97,TRADE
SA1,1/01/2015 6:30,1132.97,21.79,TRADE
SA1,1/01/2015 7:00,1101.84,22.28,TRADE
SA1,1/01/2015 7:30,1063.58,19.12,TRADE
SA1,1/01/2015 8:00,985.1,16.09,TRADE
SA1,1/01/2015 8:30,966.22,19.84,TRADE
SA1,1/01/2015 9:00,976.92,26.15,TRADE
SA1,1/01/2015 9:30,985.85,26.33,TRADE
SA1,1/01/2015 10:00,978.43,26.15,TRADE
SA1,1/01/2015 10:30,999.54,28.09,TRADE
SA1,1/01/2015 11:00,1044.36,33.3,TRADE
SA1,1/01/2015 11:30,1035.58,29.81,TRADE
SA1,1/01/2015 12:00,1080.09,25.81,TRADE
SA1,1/01/2015 12:30,1089.83,28.24,TRADE
SA1,1/01/2015 13:00,1148.98,15.76,TRADE
SA1,1/01/2015 13:30,1222.79,22.9,TRADE
SA1,1/01/2015 14:00,1245.41,28.63,TRADE
SA1,1/01/2015 14:30,1308.38,30.36,TRADE
SA1,1/01/2015 15:00,1376.71,34.28,TRADE
SA1,1/01/2015 15:30,1433.14,35.31,TRADE
SA1,1/01/2015 16:00,1513.08,36.81,TRADE
SA1,1/01/2015 16:30,1590.05,45.24,TRADE
SA1,1/01/2015 17:00,1657.77,43.16,TRADE
SA1,1/01/2015 17:30,1758.96,50.56,TRADE
SA1,1/01/2015 18:00,1813.97,55.17,TRADE
SA1,1/01/2015 18:30,1841.24,45.99,TRADE
SA1,1/01/2015 19:00,1849.89,45.99,TRADE
SA1,1/01/2015 19:30,1831.45,45.99,TRADE
SA1,1/01/2015 20:00,1787.84,45.98,TRADE
SA1,1/01/2015 20:30,1724.9,36.9,TRADE
SA1,1/01/2015 21:00,1711.67,34.64,TRADE
SA1,1/01/2015 21:30,1628.05,25.51,TRADE
SA1,1/01/2015 22:00,1586.89,25.89,TRADE
SA1,1/01/2015 22:30,1541.4,24.44,TRADE
SA1,1/01/2015 23:00,1516.33,16.34,TRADE
SA1,1/01/2015 23:30,1438.87,13.15,TRADE
SA1,2/01/2015 0:00,1646.49,24.13,TRADE
SA1,2/01/2015 0:30,1485.42,11.21,TRADE
SA1,2/01/2015 1:00,1386.17,6.94,TRADE
SA1,2/01/2015 1:30,1314.17,5.37,TRADE
SA1,2/01/2015 2:00,1248.39,4.68,TRADE
SA1,2/01/2015 2:30,1208.38,0.83,TRADE
SA1,2/01/2015 3:00,1197.04,4.21,TRADE
SA1,2/01/2015 3:30,1181.3,5.63,TRADE
SA1,2/01/2015 4:00,1170.48,4.24,TRADE
SA1,2/01/2015 4:30,1170.18,10.01,TRADE
SA1,2/01/2015 5:00,1184.98,9.19,TRADE
SA1,2/01/2015 5:30,1191.23,13.24,TRADE
SA1,2/01/2015 6:00,1228.46,13.79,TRADE
SA1,2/01/2015 6:30,1250.62,13.67,TRADE
SA1,2/01/2015 7:00,1291.28,13.67,TRADE
SA1,2/01/2015 7:30,1346.94,13.88,TRADE
SA1,2/01/2015 8:00,1410.12,14.41,TRADE
SA1,2/01/2015 8:30,1509.81,17.38,TRADE
SA1,2/01/2015 9:00,1567.13,23.14,TRADE
SA1,2/01/2015 9:30,1640.03,28.32,TRADE
SA1,2/01/2015 10:00,1675.67,32.95,TRADE
SA1,2/01/2015 10:30,1710.24,40.32,TRADE
SA1,2/01/2015 11:00,1785.71,39.44,TRADE
SA1,2/01/2015 11:30,1909.7,45.99,TRADE
SA1,2/01/2015 12:00,1972.67,53.49,TRADE
SA1,2/01/2015 12:30,2084.75,54.99,TRADE
SA1,2/01/2015 13:00,2148.38,54.99,TRADE
SA1,2/01/2015 13:30,2172.07,54.99,TRADE
SA1,2/01/2015 14:00,2222.06,72.99,TRADE
SA1,2/01/2015 14:30,2238.35,59.99,TRADE
SA1,2/01/2015 15:00,2312.17,65.01,TRADE
SA1,2/01/2015 15:30,2346.74,80.3,TRADE
SA1,2/01/2015 16:00,2412.13,86.77,TRADE
SA1,2/01/2015 16:30,2470.29,184.02,TRADE
SA1,2/01/2015 17:00,2421.8,263,TRADE
SA1,2/01/2015 17:30,2427.98,182.91,TRADE
SA1,2/01/2015 18:00,2467.81,127.49,TRADE
SA1,2/01/2015 18:30,2512.28,293.58,TRADE
SA1,2/01/2015 19:00,2442.14,215.41,TRADE
SA1,2/01/2015 19:30,2441.56,434.38,TRADE
SA1,2/01/2015 20:00,2313.08,187.9,TRADE
SA1,2/01/2015 20:30,2334.07,82.7,TRADE
SA1,2/01/2015 21:00,2261.67,64.99,TRADE
SA1,2/01/2015 21:30,2150.13,62.91,TRADE
SA1,2/01/2015 22:00,2067.54,51.34,TRADE
SA1,2/01/2015 22:30,1977.94,47.49,TRADE
SA1,2/01/2015 23:00,1884.06,48.86,TRADE
SA1,2/01/2015 23:30,1803.11,44.73,TRADE
SA1,3/01/2015 0:00,1943.76,42.33,TRADE
SA1,3/01/2015 0:30,1765.65,42.67,TRADE
SA1,3/01/2015 1:00,1662.93,36.61,TRADE
SA1,3/01/2015 1:30,1538.89,32.1,TRADE
SA1,3/01/2015 2:00,1499.97,31.28,TRADE
SA1,3/01/2015 2:30,1447.59,25.82,TRADE
SA1,3/01/2015 3:00,1422.97,20.97,TRADE
SA1,3/01/2015 3:30,1396.56,20.24,TRADE
SA1,3/01/2015 4:00,1398.43,14.2,TRADE
SA1,3/01/2015 4:30,1386.63,11.89,TRADE
SA1,3/01/2015 5:00,1396.57,9.77,TRADE
SA1,3/01/2015 5:30,1372.76,13.29,TRADE
SA1,3/01/2015 6:00,1358.54,14.08,TRADE
SA1,3/01/2015 6:30,1354.36,14.56,TRADE
SA1,3/01/2015 7:00,1427.05,18.71,TRADE
SA1,3/01/2015 7:30,1520.28,23.52,TRADE
SA1,3/01/2015 8:00,1569.32,27.34,TRADE
SA1,3/01/2015 8:30,1639.77,31.66,TRADE
SA1,3/01/2015 9:00,1690.01,41.67,TRADE
SA1,3/01/2015 9:30,1748.78,42.43,TRADE
SA1,3/01/2015 10:00,1824.08,42.92,TRADE
SA1,3/01/2015 10:30,1842.32,44.92,TRADE
SA1,3/01/2015 11:00,1907.77,45.91,TRADE
SA1,3/01/2015 11:30,1962.57,45.78,TRADE
SA1,3/01/2015 12:00,1978.35,45.29,TRADE
SA1,3/01/2015 12:30,1958.95,37.49,TRADE
SA1,3/01/2015 13:00,1950.14,38.98,TRADE
SA1,3/01/2015 13:30,1928.1,40.54,TRADE
SA1,3/01/2015 14:00,1978.89,44.84,TRADE
SA1,3/01/2015 14:30,1984.27,45.99,TRADE
SA1,3/01/2015 15:00,1994.42,45.6,TRADE
SA1,3/01/2015 15:30,1946.85,45.99,TRADE
SA1,3/01/2015 16:00,1925.45,45.99,TRADE
SA1,3/01/2015 16:30,1870.98,43.76,TRADE
SA1,3/01/2015 17:00,1817.14,32.58,TRADE
SA1,3/01/2015 17:30,1752.68,28.54,TRADE
SA1,3/01/2015 18:00,1739.32,38.15,TRADE
SA1,3/01/2015 18:30,1719.9,34.33,TRADE
SA1,3/01/2015 19:00,1710.05,40.2,TRADE
SA1,3/01/2015 19:30,1695.04,42.01,TRADE
SA1,3/01/2015 20:00,1655.28,42.11,TRADE
SA1,3/01/2015 20:30,1658.53,46.23,TRADE
SA1,3/01/2015 21:00,1590.52,41.07,TRADE
SA1,3/01/2015 21:30,1503.27,40.21,TRADE
SA1,3/01/2015 22:00,1401.91,34.43,TRADE
SA1,3/01/2015 22:30,1375.35,34.08,TRADE
SA1,3/01/2015 23:00,1313.66,27.41,TRADE
SA1,3/01/2015 23:30,1339.74,24.84,TRADE
SA1,4/01/2015 0:00,1573.6,21.67,TRADE
SA1,4/01/2015 0:30,1397.37,16.77,TRADE
SA1,4/01/2015 1:00,1279.08,19.18,TRADE
SA1,4/01/2015 1:30,1191.24,18.89,TRADE
SA1,4/01/2015 2:00,1127.58,21.22,TRADE
SA1,4/01/2015 2:30,1080.87,18.47,TRADE
SA1,4/01/2015 3:00,1053.96,18.42,TRADE
SA1,4/01/2015 3:30,1055.64,16.69,TRADE
SA1,4/01/2015 4:00,1052.54,16.57,TRADE
SA1,4/01/2015 4:30,1040.41,17.91,TRADE
SA1,4/01/2015 5:00,1056,15.94,TRADE
SA1,4/01/2015 5:30,1034.17,15.54,TRADE
SA1,4/01/2015 6:00,1025.06,15.27,TRADE
SA1,4/01/2015 6:30,1038.96,15.94,TRADE
SA1,4/01/2015 7:00,1046.41,19.55,TRADE
SA1,4/01/2015 7:30,1030.86,21.83,TRADE
SA1,4/01/2015 8:00,993.09,21.46,TRADE
SA1,4/01/2015 8:30,987.02,22.77,TRADE
SA1,4/01/2015 9:00,1021.84,24.75,TRADE
SA1,4/01/2015 9:30,1004.44,24.39,TRADE
SA1,4/01/2015 10:00,1017.97,25.98,TRADE
SA1,4/01/2015 10:30,992.27,26.46,TRADE
SA1,4/01/2015 11:00,984.46,27.76,TRADE
SA1,4/01/2015 11:30,972.95,27.6,TRADE
SA1,4/01/2015 12:00,985.85,30.26,TRADE
SA1,4/01/2015 12:30,991.95,30.58,TRADE
SA1,4/01/2015 13:00,1023.68,32.26,TRADE
SA1,4/01/2015 13:30,1046.38,29.76,TRADE
SA1,4/01/2015 14:00,1095.07,27.81,TRADE
SA1,4/01/2015 14:30,1122.48,25.69,TRADE
SA1,4/01/2015 15:00,1179.46,30.67,TRADE
SA1,4/01/2015 15:30,1243.53,23.04,TRADE
SA1,4/01/2015 16:00,1318.98,25.47,TRADE
SA1,4/01/2015 16:30,1373.37,30.32,TRADE
SA1,4/01/2015 17:00,1407.36,34.15,TRADE
SA1,4/01/2015 17:30,1442.52,35.14,TRADE
SA1,4/01/2015 18:00,1454.41,34.25,TRADE
SA1,4/01/2015 18:30,1482.74,36.32,TRADE
SA1,4/01/2015 19:00,1474.62,36.18,TRADE
SA1,4/01/2015 19:30,1408.28,30,TRADE
SA1,4/01/2015 20:00,1372.03,23.94,TRADE
SA1,4/01/2015 20:30,1368.63,24.27,TRADE
