REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
TAS1,2021/09/01 00:30:00,1099.45,2.25,TRADE
TAS1,2021/09/01 01:00:00,1081.34,-0.72,TRADE
TAS1,2021/09/01 01:30:00,1086.69,-0.72,TRADE
TAS1,2021/09/01 02:00:00,1088.35,10.80,TRADE
TAS1,2021/09/01 02:30:00,1101.41,24.31,TRADE
TAS1,2021/09/01 03:00:00,1096.9,24.97,TRADE
TAS1,2021/09/01 03:30:00,1123.26,26.64,TRADE
TAS1,2021/09/01 04:00:00,1116.78,26.46,TRADE
TAS1,2021/09/01 04:30:00,1144.71,17.49,TRADE
TAS1,2021/09/01 05:00:00,1177.15,27.11,TRADE
TAS1,2021/09/01 05:30:00,1211.39,27.12,TRADE
TAS1,2021/09/01 06:00:00,1248.16,27.12,TRADE
TAS1,2021/09/01 06:30:00,1322.49,32.26,TRADE
TAS1,2021/09/01 07:00:00,1409.02,70.14,TRADE
TAS1,2021/09/01 07:30:00,1464.61,55.14,TRADE
TAS1,2021/09/01 08:00:00,1438.43,28.38,TRADE
TAS1,2021/09/01 08:30:00,1421.18,32.67,TRADE
TAS1,2021/09/01 09:00:00,1363.76,25.04,TRADE
TAS1,2021/09/01 09:30:00,1254.15,6.28,TRADE
TAS1,2021/09/01 10:00:00,1202.2,29.19,TRADE
TAS1,2021/09/01 10:30:00,1135.27,-2.37,TRADE
TAS1,2021/09/01 11:00:00,1170.3,14.59,TRADE
TAS1,2021/09/01 11:30:00,1156.86,28.83,TRADE
TAS1,2021/09/01 12:00:00,1139.25,20.23,TRADE
TAS1,2021/09/01 12:30:00,1116.62,14.94,TRADE
TAS1,2021/09/01 13:00:00,1103.46,15.30,TRADE
TAS1,2021/09/01 13:30:00,1091.03,30.90,TRADE
TAS1,2021/09/01 14:00:00,1072.18,34.45,TRADE
TAS1,2021/09/01 14:30:00,1078.23,26.86,TRADE
TAS1,2021/09/01 15:00:00,1077.79,19.80,TRADE
TAS1,2021/09/01 15:30:00,1083.68,16.42,TRADE
TAS1,2021/09/01 16:00:00,1085.72,22.79,TRADE
TAS1,2021/09/01 16:30:00,1132.56,8.85,TRADE
TAS1,2021/09/01 17:00:00,1201.24,-11.67,TRADE
TAS1,2021/09/01 17:30:00,1239.86,28.61,TRADE
TAS1,2021/09/01 18:00:00,1306.03,43.24,TRADE
TAS1,2021/09/01 18:30:00,1353.6,57.14,TRADE
TAS1,2021/09/01 19:00:00,1352.2,29.67,TRADE
TAS1,2021/09/01 19:30:00,1345.38,21.18,TRADE
TAS1,2021/09/01 20:00:00,1327.07,21.96,TRADE
TAS1,2021/09/01 20:30:00,1303.37,6.56,TRADE
TAS1,2021/09/01 21:00:00,1270.49,7.24,TRADE
TAS1,2021/09/01 21:30:00,1272.8,14.72,TRADE
TAS1,2021/09/01 22:00:00,1238.88,8.99,TRADE
TAS1,2021/09/01 22:30:00,1189.83,4.22,TRADE
TAS1,2021/09/01 23:00:00,1149.44,-13.61,TRADE
TAS1,2021/09/01 23:30:00,1107.64,-2.79,TRADE
TAS1,2021/09/02 00:00:00,1075.61,-1.95,TRADE
TAS1,2021/09/02 00:30:00,1029.88,4.56,TRADE
TAS1,2021/09/02 01:00:00,1035.27,2.08,TRADE
TAS1,2021/09/02 01:30:00,1007.14,-12.36,TRADE
TAS1,2021/09/02 02:00:00,1020.05,-8.06,TRADE
TAS1,2021/09/02 02:30:00,1024.06,-18.04,TRADE
TAS1,2021/09/02 03:00:00,1018.38,-17.15,TRADE
TAS1,2021/09/02 03:30:00,1025.87,-14.22,TRADE
TAS1,2021/09/02 04:00:00,1029.34,-23.63,TRADE
TAS1,2021/09/02 04:30:00,1040.65,-25.17,TRADE
TAS1,2021/09/02 05:00:00,1054.09,-25.86,TRADE
TAS1,2021/09/02 05:30:00,1090.95,-11.33,TRADE
TAS1,2021/09/02 06:00:00,1135.92,-15.21,TRADE
TAS1,2021/09/02 06:30:00,1177.2,-5.89,TRADE
TAS1,2021/09/02 07:00:00,1244.85,-0.66,TRADE
TAS1,2021/09/02 07:30:00,1281.54,-9.69,TRADE
TAS1,2021/09/02 08:00:00,1312.55,-21.15,TRADE
TAS1,2021/09/02 08:30:00,1271.02,-21.89,TRADE
TAS1,2021/09/02 09:00:00,1248.74,-8.04,TRADE
TAS1,2021/09/02 09:30:00,1197.28,-1.06,TRADE
TAS1,2021/09/02 10:00:00,1140.41,-9.35,TRADE
TAS1,2021/09/02 10:30:00,1102.49,-12.21,TRADE
TAS1,2021/09/02 11:00:00,1047.44,8.81,TRADE
TAS1,2021/09/02 11:30:00,1020.31,25.28,TRADE
TAS1,2021/09/02 12:00:00,1008.88,27.21,TRADE
TAS1,2021/09/02 12:30:00,1013.92,36.09,TRADE
TAS1,2021/09/02 13:00:00,1004.33,27.02,TRADE
TAS1,2021/09/02 13:30:00,1013.73,27.04,TRADE
TAS1,2021/09/02 14:00:00,1008.69,8.63,TRADE
TAS1,2021/09/02 14:30:00,1036.81,25.91,TRADE
TAS1,2021/09/02 15:00:00,1035.55,23.65,TRADE
TAS1,2021/09/02 15:30:00,1040.34,20.91,TRADE
TAS1,2021/09/02 16:00:00,1047.47,16.54,TRADE
TAS1,2021/09/02 16:30:00,1066.46,-3.43,TRADE
TAS1,2021/09/02 17:00:00,1082.57,-5.45,TRADE
TAS1,2021/09/02 17:30:00,1122.37,-9.83,TRADE
TAS1,2021/09/02 18:00:00,1173.18,-0.61,TRADE
TAS1,2021/09/02 18:30:00,1199.41,7.33,TRADE
TAS1,2021/09/02 19:00:00,1241.04,19.47,TRADE
TAS1,2021/09/02 19:30:00,1226.58,5.37,TRADE
TAS1,2021/09/02 20:00:00,1205.58,0.69,TRADE
TAS1,2021/09/02 20:30:00,1176.96,-0.75,TRADE
TAS1,2021/09/02 21:00:00,1146.08,-11.13,TRADE
TAS1,2021/09/02 21:30:00,1125.87,-3.16,TRADE
TAS1,2021/09/02 22:00:00,1131.47,-0.60,TRADE
TAS1,2021/09/02 22:30:00,1106.64,1.05,TRADE
TAS1,2021/09/02 23:00:00,1008.92,-4.07,TRADE
TAS1,2021/09/02 23:30:00,960.79,22.33,TRADE
TAS1,2021/09/03 00:00:00,999.36,43.89,TRADE
TAS1,2021/09/03 00:30:00,982.36,-0.67,TRADE
TAS1,2021/09/03 01:00:00,999.81,-0.49,TRADE
TAS1,2021/09/03 01:30:00,1002.55,7.98,TRADE
TAS1,2021/09/03 02:00:00,1015.57,-1.89,TRADE
TAS1,2021/09/03 02:30:00,994.58,-13.87,TRADE
TAS1,2021/09/03 03:00:00,993.64,7.80,TRADE
TAS1,2021/09/03 03:30:00,999.22,24.65,TRADE
TAS1,2021/09/03 04:00:00,981.6,33.15,TRADE
TAS1,2021/09/03 04:30:00,975.59,22.10,TRADE
TAS1,2021/09/03 05:00:00,991.85,20.47,TRADE
TAS1,2021/09/03 05:30:00,993.22,24.48,TRADE
TAS1,2021/09/03 06:00:00,1025.23,9.83,TRADE
TAS1,2021/09/03 06:30:00,1086.58,18.19,TRADE
TAS1,2021/09/03 07:00:00,1151.91,29.41,TRADE
TAS1,2021/09/03 07:30:00,1206.35,33.01,TRADE
TAS1,2021/09/03 08:00:00,1232.04,28.95,TRADE
TAS1,2021/09/03 08:30:00,1272.07,31.31,TRADE
TAS1,2021/09/03 09:00:00,1241.15,28.17,TRADE
TAS1,2021/09/03 09:30:00,1252.46,29.47,TRADE
TAS1,2021/09/03 10:00:00,1252.42,29.79,TRADE
TAS1,2021/09/03 10:30:00,1245.79,35.14,TRADE
TAS1,2021/09/03 11:00:00,1229.08,29.63,TRADE
TAS1,2021/09/03 11:30:00,1220.9,46.61,TRADE
TAS1,2021/09/03 12:00:00,1223.39,33.29,TRADE
TAS1,2021/09/03 12:30:00,1208.27,29.72,TRADE
TAS1,2021/09/03 13:00:00,1195.45,20.48,TRADE
TAS1,2021/09/03 13:30:00,1214.11,22.87,TRADE
TAS1,2021/09/03 14:00:00,1196.1,32.48,TRADE
TAS1,2021/09/03 14:30:00,1214.9,32.48,TRADE
