REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2021/09/01 00:30:00,4669.69,75.43,TRADE
VIC1,2021/09/01 01:00:00,4545.49,86.16,TRADE
VIC1,2021/09/01 01:30:00,4430.36,98.90,TRADE
VIC1,2021/09/01 02:00:00,4265.74,73.70,TRADE
VIC1,2021/09/01 02:30:00,4159.03,62.21,TRADE
VIC1,2021/09/01 03:00:00,4079.83,57.96,TRADE
VIC1,2021/09/01 03:30:00,4034.87,56.56,TRADE
VIC1,2021/09/01 04:00:00,4001.28,57.06,TRADE
VIC1,2021/09/01 04:30:00,4017.44,55.07,TRADE
VIC1,2021/09/01 05:00:00,4104.48,45.17,TRADE
VIC1,2021/09/01 05:30:00,4259.46,44.12,TRADE
VIC1,2021/09/01 06:00:00,4415.19,43.10,TRADE
VIC1,2021/09/01 06:30:00,4805.95,59.73,TRADE
VIC1,2021/09/01 07:00:00,5068.21,84.66,TRADE
VIC1,2021/09/01 07:30:00,5181.4,60.26,TRADE
VIC1,2021/09/01 08:00:00,5199.31,30.74,TRADE
VIC1,2021/09/01 08:30:00,5131.51,31.35,TRADE
VIC1,2021/09/01 09:00:00,4905.88,17.29,TRADE
VIC1,2021/09/01 09:30:00,4643.17,2.55,TRADE
VIC1,2021/09/01 10:00:00,4322.04,7.59,TRADE
VIC1,2021/09/01 10:30:00,4051.04,-3.61,TRADE
VIC1,2021/09/01 11:00:00,3808.38,0,TRADE
VIC1,2021/09/01 11:30:00,3604.07,-8.64,TRADE
VIC1,2021/09/01 12:00:00,3500.19,-21.11,TRADE
VIC1,2021/09/01 12:30:00,3453.26,-28.87,TRADE
VIC1,2021/09/01 13:00:00,3401.18,-33.86,TRADE
VIC1,2021/09/01 13:30:00,3393.33,-31.77,TRADE
VIC1,2021/09/01 14:00:00,3418.34,-25.40,TRADE
VIC1,2021/09/01 14:30:00,3488.54,-19.09,TRADE
VIC1,2021/09/01 15:00:00,3637.76,-17.48,TRADE
VIC1,2021/09/01 15:30:00,3804.38,-13.16,TRADE
VIC1,2021/09/01 16:00:00,4066.16,3.89,TRADE
VIC1,2021/09/01 16:30:00,4357.5,2.21,TRADE
VIC1,2021/09/01 17:00:00,4681.37,9.56,TRADE
VIC1,2021/09/01 17:30:00,5007.09,55.96,TRADE
VIC1,2021/09/01 18:00:00,5212.47,64.89,TRADE
VIC1,2021/09/01 18:30:00,5365.42,77.96,TRADE
VIC1,2021/09/01 19:00:00,5470.79,42.74,TRADE
VIC1,2021/09/01 19:30:00,5310.17,21.12,TRADE
VIC1,2021/09/01 20:00:00,5148.66,18.46,TRADE
VIC1,2021/09/01 20:30:00,4954.23,1.64,TRADE
VIC1,2021/09/01 21:00:00,4787.8,6.28,TRADE
VIC1,2021/09/01 21:30:00,4711.82,10.19,TRADE
VIC1,2021/09/01 22:00:00,4496.16,2.29,TRADE
VIC1,2021/09/01 22:30:00,4374.48,-0.16,TRADE
VIC1,2021/09/01 23:00:00,4301.34,-14.82,TRADE
VIC1,2021/09/01 23:30:00,4453.45,-4.07,TRADE
VIC1,2021/09/02 00:00:00,4372.44,-3.50,TRADE
VIC1,2021/09/02 00:30:00,4200.57,-4.56,TRADE
VIC1,2021/09/02 01:00:00,4045.05,-0.73,TRADE
VIC1,2021/09/02 01:30:00,3902.8,-17.21,TRADE
VIC1,2021/09/02 02:00:00,3725.92,-18,TRADE
VIC1,2021/09/02 02:30:00,3603.36,-30.41,TRADE
VIC1,2021/09/02 03:00:00,3524.8,-37.29,TRADE
VIC1,2021/09/02 03:30:00,3470.32,-29.99,TRADE
VIC1,2021/09/02 04:00:00,3441.21,-38.41,TRADE
VIC1,2021/09/02 04:30:00,3423.78,-39.65,TRADE
VIC1,2021/09/02 05:00:00,3463.18,-35.56,TRADE
