REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2022-11-01 00:30:00,5884.436666666667,151.93,TRADE
QLD1,2022-11-01 01:00:00,5725.303333333333,137.89,TRADE
QLD1,2022-11-01 01:30:00,5642.513333333333,120.53,TRADE
QLD1,2022-11-01 02:00:00,5633.598333333332,124.35,TRADE
QLD1,2022-11-01 02:30:00,5560.316666666667,125.085,TRADE
QLD1,2022-11-01 03:00:00,5507.623333333333,120.53,TRADE
QLD1,2022-11-01 03:30:00,5494.259999999999,126.505,TRADE
QLD1,2022-11-01 04:00:00,5527.45,126.56,TRADE
QLD1,2022-11-01 04:30:00,5575.544999999999,127.69,TRADE
QLD1,2022-11-01 05:00:00,5640.931666666666,130.49,TRADE
QLD1,2022-11-01 05:30:00,5823.936666666667,148.12,TRADE
QLD1,2022-11-01 06:00:00,5967.516666666666,133.45,TRADE
QLD1,2022-11-01 06:30:00,6241.085,140.0,TRADE
QLD1,2022-11-01 07:00:00,6483.921666666666,162.655,TRADE
QLD1,2022-11-01 07:30:00,6847.93,237.73,TRADE
QLD1,2022-11-01 08:00:00,6949.305,183.905,TRADE
QLD1,2022-11-01 08:30:00,6791.626666666667,139.865,TRADE
QLD1,2022-11-01 09:00:00,6664.338333333333,124.865,TRADE
QLD1,2022-11-01 09:30:00,6671.598333333332,122.39,TRADE
QLD1,2022-11-01 10:00:00,6549.738333333334,98.27,TRADE
QLD1,2022-11-01 10:30:00,6476.653333333333,99.35,TRADE
QLD1,2022-11-01 11:00:00,6525.543333333334,99.89,TRADE
QLD1,2022-11-01 11:30:00,6390.451666666667,88.0,TRADE
QLD1,2022-11-01 12:00:00,6346.756666666667,97.175,TRADE
QLD1,2022-11-01 12:30:00,6033.143333333333,73.7,TRADE
QLD1,2022-11-01 13:00:00,5626.855,23.2,TRADE
QLD1,2022-11-01 13:30:00,5451.83,19.685000000000002,TRADE
QLD1,2022-11-01 14:00:00,5221.71,0.0,TRADE
QLD1,2022-11-01 14:30:00,5400.208333333333,24.725,TRADE
QLD1,2022-11-01 15:00:00,5769.828333333334,92.33,TRADE
QLD1,2022-11-01 15:30:00,6112.405,113.795,TRADE
QLD1,2022-11-01 16:00:00,6443.448333333334,103.02000000000001,TRADE
QLD1,2022-11-01 16:30:00,6748.156666666667,114.765,TRADE
QLD1,2022-11-01 17:00:00,6961.283333333333,144.39,TRADE
QLD1,2022-11-01 17:30:00,7108.096666666667,150.03,TRADE
QLD1,2022-11-01 18:00:00,7276.588333333333,173.745,TRADE
QLD1,2022-11-01 18:30:00,7386.9766666666665,205.91000000000003,TRADE
QLD1,2022-11-01 19:00:00,7462.906666666667,196.115,TRADE
QLD1,2022-11-01 19:30:00,7326.3,153.445,TRADE
QLD1,2022-11-01 20:00:00,7316.806666666666,175.53,TRADE
QLD1,2022-11-01 20:30:00,7166.884999999999,145.31,TRADE
QLD1,2022-11-01 21:00:00,6958.141666666666,119.56,TRADE
QLD1,2022-11-01 21:30:00,6785.373333333333,139.73,TRADE
QLD1,2022-11-01 22:00:00,6550.55,139.73,TRADE
QLD1,2022-11-01 22:30:00,6349.068333333334,139.73,TRADE
QLD1,2022-11-01 23:00:00,6142.561666666667,156.33499999999998,TRADE
QLD1,2022-11-01 23:30:00,5999.75,154.765,TRADE
QLD1,2022-11-02 00:00:00,5876.415,150.3,TRADE
QLD1,2022-11-02 00:30:00,5644.741666666666,141.325,TRADE
QLD1,2022-11-02 01:00:00,5495.746666666667,140.0,TRADE
QLD1,2022-11-02 01:30:00,5399.656666666667,137.865,TRADE
QLD1,2022-11-02 02:00:00,5291.506666666667,125.61,TRADE
QLD1,2022-11-02 02:30:00,5226.383333333333,112.925,TRADE
QLD1,2022-11-02 03:00:00,5230.281666666667,113.655,TRADE
QLD1,2022-11-02 03:30:00,5245.768333333333,117.095,TRADE
QLD1,2022-11-02 04:00:00,5221.13,120.53,TRADE
QLD1,2022-11-02 04:30:00,5268.256666666667,134.81,TRADE
