REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2022-10-01 00:30:00,4636.22,149.98,TRADE
VIC1,2022-10-01 01:00:00,4460.356666666667,158.84,TRADE
VIC1,2022-10-01 01:30:00,4323.906666666667,157.025,TRADE
VIC1,2022-10-01 02:00:00,4211.0199999999995,156.78,TRADE
VIC1,2022-10-01 02:30:00,4111.693333333334,150.775,TRADE
VIC1,2022-10-01 03:00:00,3990.976666666667,154.98000000000002,TRADE
VIC1,2022-10-01 03:30:00,3992.6083333333336,157.84,TRADE
VIC1,2022-10-01 04:00:00,3971.015,154.735,TRADE
VIC1,2022-10-01 04:30:00,3967.0816666666665,149.98,TRADE
VIC1,2022-10-01 05:00:00,4034.7000000000003,149.98,TRADE
VIC1,2022-10-01 05:30:00,4107.621666666667,158.16000000000003,TRADE
VIC1,2022-10-01 06:00:00,4201.286666666667,157.04000000000002,TRADE
VIC1,2022-10-01 06:30:00,4350.2699999999995,192.0,TRADE
VIC1,2022-10-01 07:00:00,4383.525000000001,150.79,TRADE
VIC1,2022-10-01 07:30:00,4277.461666666667,80.96000000000001,TRADE
VIC1,2022-10-01 08:00:00,4122.488333333334,44.055,TRADE
VIC1,2022-10-01 08:30:00,3967.933333333333,25.345,TRADE
VIC1,2022-10-01 09:00:00,3763.9466666666667,9.2,TRADE
VIC1,2022-10-01 09:30:00,3546.366666666667,61.085,TRADE
VIC1,2022-10-01 10:00:00,3238.5933333333337,-21.619999999999997,TRADE
VIC1,2022-10-01 10:30:00,2952.316666666667,-36.85,TRADE
VIC1,2022-10-01 11:00:00,2799.61,-45.0,TRADE
VIC1,2022-10-01 11:30:00,2649.5266666666666,-35.765,TRADE
VIC1,2022-10-01 12:00:00,2586.1233333333334,-55.05,TRADE
VIC1,2022-10-01 12:30:00,2538.06,-58.96,TRADE
VIC1,2022-10-01 13:00:00,2436.2483333333334,-26.23,TRADE
VIC1,2022-10-01 13:30:00,2532.9466666666667,-21.29,TRADE
VIC1,2022-10-01 14:00:00,2563.87,-25.634999999999998,TRADE
VIC1,2022-10-01 14:30:00,2652.5266666666666,-22.635,TRADE
VIC1,2022-10-01 15:00:00,2793.855,-21.48,TRADE
VIC1,2022-10-01 15:30:00,2936.345,-11.01,TRADE
VIC1,2022-10-01 16:00:00,3270.943333333333,75.89,TRADE
VIC1,2022-10-01 16:30:00,3622.6183333333333,68.91,TRADE
VIC1,2022-10-01 17:00:00,4001.9516666666664,116.5,TRADE
VIC1,2022-10-01 17:30:00,4382.265,134.24,TRADE
