REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2023-11-01 00:30:00,6889.345,75.11,TRADE
NSW1,2023-11-01 01:00:00,6676.318333333334,59.99,TRADE
NSW1,2023-11-01 01:30:00,6495.171666666666,60.394999999999996,TRADE
NSW1,2023-11-01 02:00:00,6320.706666666666,59.44,TRADE
NSW1,2023-11-01 02:30:00,6243.884999999999,59.99,TRADE
NSW1,2023-11-01 03:00:00,6195.608333333334,59.99,TRADE
NSW1,2023-11-01 03:30:00,6193.983333333334,59.99,TRADE
NSW1,2023-11-01 04:00:00,6227.131666666667,60.769999999999996,TRADE
NSW1,2023-11-01 04:30:00,6442.28,64.055,TRADE
NSW1,2023-11-01 05:00:00,6676.586666666667,90.04499999999999,TRADE
NSW1,2023-11-01 05:30:00,6750.453333333334,85.98,TRADE
NSW1,2023-11-01 06:00:00,6920.198333333334,61.595,TRADE
NSW1,2023-11-01 06:30:00,7149.406666666667,47.82,TRADE
NSW1,2023-11-01 07:00:00,7138.931666666666,44.455,TRADE
NSW1,2023-11-01 07:30:00,6892.008333333334,34.795,TRADE
NSW1,2023-11-01 08:00:00,6521.473333333332,0.01,TRADE
NSW1,2023-11-01 08:30:00,6440.105,18.78,TRADE
NSW1,2023-11-01 09:00:00,6202.981666666667,9.17,TRADE
NSW1,2023-11-01 09:30:00,5851.593333333333,9.25,TRADE
NSW1,2023-11-01 10:00:00,5694.795000000001,10.0,TRADE
NSW1,2023-11-01 10:30:00,5562.406666666667,10.0,TRADE
NSW1,2023-11-01 11:00:00,5431.68,1.87,TRADE
NSW1,2023-11-01 11:30:00,5283.923333333333,9.05,TRADE
NSW1,2023-11-01 12:00:00,5202.325,0.51,TRADE
NSW1,2023-11-01 12:30:00,5050.913333333333,0.0,TRADE
NSW1,2023-11-01 13:00:00,4907.501666666667,0.0,TRADE
NSW1,2023-11-01 13:30:00,5003.218333333333,0.52,TRADE
NSW1,2023-11-01 14:00:00,5116.495,45.614999999999995,TRADE
NSW1,2023-11-01 14:30:00,5391.4783333333335,62.89,TRADE
NSW1,2023-11-01 15:00:00,5802.47,35.08,TRADE
NSW1,2023-11-01 15:30:00,6266.386666666666,48.84,TRADE
NSW1,2023-11-01 16:00:00,6794.87,60.125,TRADE
NSW1,2023-11-01 16:30:00,7286.3533333333335,58.0,TRADE
NSW1,2023-11-01 17:00:00,7714.995,38.010000000000005,TRADE
NSW1,2023-11-01 17:30:00,7951.053333333333,95.16,TRADE
NSW1,2023-11-01 18:00:00,8094.018333333333,128.385,TRADE
NSW1,2023-11-01 18:30:00,8141.903333333333,131.88,TRADE
NSW1,2023-11-01 19:00:00,8178.306666666667,253.97,TRADE
NSW1,2023-11-01 19:30:00,8198.156666666668,131.365,TRADE
NSW1,2023-11-01 20:00:00,8036.3550000000005,92.11,TRADE
NSW1,2023-11-01 20:30:00,7835.253333333334,88.45,TRADE
NSW1,2023-11-01 21:00:00,7653.384999999999,79.08000000000001,TRADE
NSW1,2023-11-01 21:30:00,7584.4783333333335,67.195,TRADE
