REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2023-10-01 00:30:00,1431.125,-15.530000000000001,TRADE
SA1,2023-10-01 01:00:00,1421.825,-1.0,TRADE
SA1,2023-10-01 01:30:00,1376.9833333333333,-28.08,TRADE
SA1,2023-10-01 02:00:00,1335.4750000000001,-35.980000000000004,TRADE
SA1,2023-10-01 02:30:00,1319.3433333333332,-51.58,TRADE
SA1,2023-10-01 03:00:00,1286.3166666666666,-52.58,TRADE
SA1,2023-10-01 03:30:00,1290.2549999999999,-46.77,TRADE
SA1,2023-10-01 04:00:00,1241.8799999999999,-36.965,TRADE
SA1,2023-10-01 04:30:00,1219.9083333333333,-51.51,TRADE
SA1,2023-10-01 05:00:00,1220.2933333333333,-49.14,TRADE
SA1,2023-10-01 05:30:00,1198.9316666666666,-46.77,TRADE
SA1,2023-10-01 06:00:00,1213.5666666666666,-41.32,TRADE
SA1,2023-10-01 06:30:00,1229.5216666666668,-35.980000000000004,TRADE
SA1,2023-10-01 07:00:00,1191.82,-48.96,TRADE
SA1,2023-10-01 07:30:00,1122.5466666666666,-57.815,TRADE
SA1,2023-10-01 08:00:00,1031.01,-62.075,TRADE
SA1,2023-10-01 08:30:00,944.2716666666666,-60.364999999999995,TRADE
SA1,2023-10-01 09:00:00,813.5883333333333,-61.084999999999994,TRADE
SA1,2023-10-01 09:30:00,682.03,-58.16,TRADE
SA1,2023-10-01 10:00:00,537.9016666666666,-56.38,TRADE
SA1,2023-10-01 10:30:00,402.21166666666664,-56.855000000000004,TRADE
SA1,2023-10-01 11:00:00,316.60833333333335,-54.834999999999994,TRADE
SA1,2023-10-01 11:30:00,213.44833333333335,-53.735,TRADE
SA1,2023-10-01 12:00:00,127.10333333333334,-53.595,TRADE
SA1,2023-10-01 12:30:00,49.11833333333333,-52.625,TRADE
SA1,2023-10-01 13:00:00,-3.853333333333333,-51.22,TRADE
SA1,2023-10-01 13:30:00,-21.493333333333336,-54.5,TRADE
SA1,2023-10-01 14:00:00,0.8633333333333333,-50.345,TRADE
SA1,2023-10-01 14:30:00,39.29,-88.505,TRADE
SA1,2023-10-01 15:00:00,134.49833333333333,-107.69,TRADE
SA1,2023-10-01 15:30:00,258.2866666666667,-90.60499999999999,TRADE
SA1,2023-10-01 16:00:00,397.87166666666667,-58.69,TRADE
SA1,2023-10-01 16:30:00,538.8466666666667,-47.78,TRADE
SA1,2023-10-01 17:00:00,698.5466666666666,6.25,TRADE
SA1,2023-10-01 17:30:00,889.5283333333333,51.03,TRADE
SA1,2023-10-01 18:00:00,1128.2233333333334,58.055,TRADE
SA1,2023-10-01 18:30:00,1278.7616666666665,59.144999999999996,TRADE
SA1,2023-10-01 19:00:00,1369.8566666666666,59.515,TRADE
SA1,2023-10-01 19:30:00,1391.04,59.245000000000005,TRADE
SA1,2023-10-01 20:00:00,1378.82,54.93,TRADE
SA1,2023-10-01 20:30:00,1367.8466666666666,46.605000000000004,TRADE
SA1,2023-10-01 21:00:00,1357.2333333333333,38.974999999999994,TRADE
SA1,2023-10-01 21:30:00,1322.335,45.175,TRADE
SA1,2023-10-01 22:00:00,1292.6433333333334,44.635000000000005,TRADE
SA1,2023-10-01 22:30:00,1277.5566666666666,45.605000000000004,TRADE
SA1,2023-10-01 23:00:00,1252.5633333333333,45.455,TRADE
SA1,2023-10-01 23:30:00,1253.5049999999999,47.825,TRADE
SA1,2023-10-02 00:00:00,1334.6266666666668,49.42,TRADE
SA1,2023-10-02 00:30:00,1333.0516666666667,46.9,TRADE
SA1,2023-10-02 01:00:00,1376.3383333333334,38.105000000000004,TRADE
SA1,2023-10-02 01:30:00,1338.885,36.16,TRADE
SA1,2023-10-02 02:00:00,1278.6216666666667,35.56,TRADE
SA1,2023-10-02 02:30:00,1225.5533333333333,33.305,TRADE
SA1,2023-10-02 03:00:00,1201.1000000000001,32.79,TRADE
SA1,2023-10-02 03:30:00,1176.5733333333335,32.365,TRADE
SA1,2023-10-02 04:00:00,1158.0249999999999,32.894999999999996,TRADE
SA1,2023-10-02 04:30:00,1146.1166666666666,37.855000000000004,TRADE
SA1,2023-10-02 05:00:00,1154.3716666666667,46.08,TRADE
SA1,2023-10-02 05:30:00,1161.675,51.305,TRADE
SA1,2023-10-02 06:00:00,1164.4750000000001,54.325,TRADE
