REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
TAS1,2023-01-01 00:30:00,961.1833333333334,105.31,TRADE
TAS1,2023-01-01 01:00:00,949.7683333333333,94.28,TRADE
TAS1,2023-01-01 01:30:00,954.67,91.2,TRADE
TAS1,2023-01-01 02:00:00,939.52,94.19999999999999,TRADE
TAS1,2023-01-01 02:30:00,916.9333333333334,90.065,TRADE
TAS1,2023-01-01 03:00:00,906.665,80.96000000000001,TRADE
TAS1,2023-01-01 03:30:00,919.6983333333333,85.31,TRADE
TAS1,2023-01-01 04:00:00,931.0,88.33,TRADE
TAS1,2023-01-01 04:30:00,939.1716666666666,91.16499999999999,TRADE
TAS1,2023-01-01 05:00:00,921.34,85.57,TRADE
TAS1,2023-01-01 05:30:00,923.9499999999999,88.47,TRADE
TAS1,2023-01-01 06:00:00,918.125,91.18,TRADE
TAS1,2023-01-01 06:30:00,900.9499999999999,39.745,TRADE
TAS1,2023-01-01 07:00:00,916.8983333333334,45.41,TRADE
TAS1,2023-01-01 07:30:00,938.54,91.14,TRADE
TAS1,2023-01-01 08:00:00,942.3383333333333,36.975,TRADE
TAS1,2023-01-01 08:30:00,951.125,80.14,TRADE
TAS1,2023-01-01 09:00:00,956.5966666666667,80.15,TRADE
TAS1,2023-01-01 09:30:00,968.535,80.18,TRADE
TAS1,2023-01-01 10:00:00,965.7216666666667,91.18,TRADE
TAS1,2023-01-01 10:30:00,970.6816666666667,91.18,TRADE
TAS1,2023-01-01 11:00:00,965.065,91.18,TRADE
TAS1,2023-01-01 11:30:00,966.5483333333333,91.18,TRADE
TAS1,2023-01-01 12:00:00,946.1683333333334,91.16,TRADE
TAS1,2023-01-01 12:30:00,920.2916666666666,91.14,TRADE
TAS1,2023-01-01 13:00:00,921.0933333333334,91.16,TRADE
TAS1,2023-01-01 13:30:00,925.29,61.26,TRADE
TAS1,2023-01-01 14:00:00,934.1916666666666,83.275,TRADE
TAS1,2023-01-01 14:30:00,953.16,77.815,TRADE
TAS1,2023-01-01 15:00:00,962.3966666666666,75.675,TRADE
TAS1,2023-01-01 15:30:00,997.6566666666666,73.05000000000001,TRADE
TAS1,2023-01-01 16:00:00,1027.3983333333333,75.82,TRADE
TAS1,2023-01-01 16:30:00,1066.9233333333334,100.13499999999999,TRADE
TAS1,2023-01-01 17:00:00,1114.2083333333333,76.265,TRADE
TAS1,2023-01-01 17:30:00,1131.4416666666666,72.47,TRADE
TAS1,2023-01-01 18:00:00,1124.8283333333331,91.3,TRADE
TAS1,2023-01-01 18:30:00,1160.0716666666667,54.31,TRADE
TAS1,2023-01-01 19:00:00,1127.3483333333334,44.83,TRADE
TAS1,2023-01-01 19:30:00,1121.4533333333334,54.17,TRADE
TAS1,2023-01-01 20:00:00,1121.5283333333334,54.18,TRADE
TAS1,2023-01-01 20:30:00,1115.4916666666666,54.18,TRADE
TAS1,2023-01-01 21:00:00,1108.3083333333334,54.18,TRADE
TAS1,2023-01-01 21:30:00,1075.435,54.26,TRADE
TAS1,2023-01-01 22:00:00,1035.895,81.215,TRADE
TAS1,2023-01-01 22:30:00,1021.18,91.18,TRADE
TAS1,2023-01-01 23:00:00,1023.5233333333332,100.16,TRADE
TAS1,2023-01-01 23:30:00,1032.75,100.18,TRADE
TAS1,2023-01-02 00:00:00,979.3516666666666,88.69,TRADE
TAS1,2023-01-02 00:30:00,972.0483333333333,88.61,TRADE
TAS1,2023-01-02 01:00:00,965.4616666666667,80.3,TRADE
TAS1,2023-01-02 01:30:00,936.9216666666666,87.68,TRADE
TAS1,2023-01-02 02:00:00,934.1583333333333,73.53999999999999,TRADE
TAS1,2023-01-02 02:30:00,931.86,54.175,TRADE
TAS1,2023-01-02 03:00:00,927.2383333333333,63.64,TRADE
TAS1,2023-01-02 03:30:00,941.19,65.245,TRADE
TAS1,2023-01-02 04:00:00,942.9899999999999,80.16,TRADE
TAS1,2023-01-02 04:30:00,942.0266666666666,68.695,TRADE
TAS1,2023-01-02 05:00:00,941.1366666666667,78.525,TRADE
TAS1,2023-01-02 05:30:00,983.0066666666667,91.2,TRADE
TAS1,2023-01-02 06:00:00,970.935,91.18,TRADE
TAS1,2023-01-02 06:30:00,989.25,91.18,TRADE
TAS1,2023-01-02 07:00:00,1019.21,91.27,TRADE
TAS1,2023-01-02 07:30:00,1039.4666666666667,67.91,TRADE
TAS1,2023-01-02 08:00:00,1089.7533333333333,63.370000000000005,TRADE
TAS1,2023-01-02 08:30:00,1121.5283333333334,68.0,TRADE
TAS1,2023-01-02 09:00:00,1120.4016666666666,68.05,TRADE
TAS1,2023-01-02 09:30:00,1142.0283333333334,62.61,TRADE
TAS1,2023-01-02 10:00:00,1156.805,61.16,TRADE
TAS1,2023-01-02 10:30:00,1101.86,67.74,TRADE
TAS1,2023-01-02 11:00:00,1093.3683333333333,54.980000000000004,TRADE
TAS1,2023-01-02 11:30:00,1089.4266666666667,54.38,TRADE
TAS1,2023-01-02 12:00:00,1049.125,62.76,TRADE
TAS1,2023-01-02 12:30:00,1011.7883333333333,57.23,TRADE
TAS1,2023-01-02 13:00:00,997.4066666666668,54.225,TRADE
TAS1,2023-01-02 13:30:00,1024.6683333333333,54.21,TRADE
TAS1,2023-01-02 14:00:00,1029.0783333333334,74.19999999999999,TRADE
TAS1,2023-01-02 14:30:00,1031.03,61.33,TRADE
TAS1,2023-01-02 15:00:00,1033.3966666666665,54.2,TRADE
TAS1,2023-01-02 15:30:00,1075.9283333333333,54.2,TRADE
TAS1,2023-01-02 16:00:00,1098.8966666666668,54.27,TRADE
TAS1,2023-01-02 16:30:00,1092.9616666666668,54.21,TRADE
TAS1,2023-01-02 17:00:00,1119.39,79.48,TRADE
TAS1,2023-01-02 17:30:00,1143.9783333333332,91.18,TRADE
