Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,66194,2015,1,1,17.6,1.0,Y
IDCJAC0011,66194,2015,1,2,20.7,1.0,Y
IDCJAC0011,66194,2015,1,3,19.8,1.0,Y
IDCJAC0011,66194,2015,1,4,21.5,1.0,Y
IDCJAC0011,66194,2015,1,5,20.1,1.0,Y
IDCJAC0011,66194,2015,1,6,19.0,1.0,Y
IDCJAC0011,66194,2015,1,7,19.5,1.0,Y
IDCJAC0011,66194,2015,1,8,16.8,1.0,Y
IDCJAC0011,66194,2015,1,9,20.3,1.0,Y
IDCJAC0011,66194,2015,1,10,21.5,1.0,Y
IDCJAC0011,66194,2015,1,11,20.0,1.0,Y
IDCJAC0011,66194,2015,1,12,19.9,1.0,Y
IDCJAC0011,66194,2015,1,13,18.4,1.0,Y
IDCJAC0011,66194,2015,1,14,21.1,1.0,Y
IDCJAC0011,66194,2015,1,15,21.0,1.0,Y
IDCJAC0011,66194,2015,1,16,18.7,1.0,Y
IDCJAC0011,66194,2015,1,17,15.4,1.0,Y
IDCJAC0011,66194,2015,1,18,18.5,1.0,Y
IDCJAC0011,66194,2015,1,19,19.8,1.0,Y
IDCJAC0011,66194,2015,1,20,17.8,1.0,Y
IDCJAC0011,66194,2015,1,21,18.9,1.0,Y
IDCJAC0011,66194,2015,1,22,19.3,1.0,Y
IDCJAC0011,66194,2015,1,23,21.0,1.0,Y
IDCJAC0011,66194,2015,1,24,21.5,1.0,Y
IDCJAC0011,66194,2015,1,25,20.0,1.0,Y
IDCJAC0011,66194,2015,1,26,19.6,1.0,Y
IDCJAC0011,66194,2015,1,27,17.7,1.0,Y
IDCJAC0011,66194,2015,1,28,16.4,1.0,Y
IDCJAC0011,66194,2015,1,29,13.1,1.0,Y
IDCJAC0011,66194,2015,1,30,10.3,1.0,Y
IDCJAC0011,66194,2015,1,31,13.1,1.0,Y
IDCJAC0011,66194,2015,2,1,16.8,1.0,Y
IDCJAC0011,66194,2015,2,2,18.2,1.0,Y
IDCJAC0011,66194,2015,2,3,15.4,1.0,Y
IDCJAC0011,66194,2015,2,4,14.4,1.0,Y
IDCJAC0011,66194,2015,2,5,17.9,1.0,Y
IDCJAC0011,66194,2015,2,6,14.3,1.0,Y
IDCJAC0011,66194,2015,2,7,16.1,1.0,Y
IDCJAC0011,66194,2015,2,8,15.6,1.0,Y
IDCJAC0011,66194,2015,2,9,21.7,1.0,Y
IDCJAC0011,66194,2015,2,10,19.5,1.0,Y
IDCJAC0011,66194,2015,2,11,19.0,1.0,Y
IDCJAC0011,66194,2015,2,12,17.6,1.0,Y
IDCJAC0011,66194,2015,2,13,19.0,1.0,Y
IDCJAC0011,66194,2015,2,14,17.8,1.0,Y
IDCJAC0011,66194,2015,2,15,18.0,1.0,Y
IDCJAC0011,66194,2015,2,16,18.6,1.0,Y
IDCJAC0011,66194,2015,2,17,17.5,1.0,Y
IDCJAC0011,66194,2015,2,18,17.6,1.0,Y
IDCJAC0011,66194,2015,2,19,19.3,1.0,Y
IDCJAC0011,66194,2015,2,20,18.6,1.0,Y
IDCJAC0011,66194,2015,2,21,20.1,1.0,Y
IDCJAC0011,66194,2015,2,22,18.4,1.0,Y
IDCJAC0011,66194,2015,2,23,18.7,1.0,Y
IDCJAC0011,66194,2015,2,24,19.7,1.0,Y
IDCJAC0011,66194,2015,2,25,18.9,1.0,Y
IDCJAC0011,66194,2015,2,26,18.9,1.0,Y
IDCJAC0011,66194,2015,2,27,18.4,1.0,Y
IDCJAC0011,66194,2015,2,28,17.1,1.0,Y
IDCJAC0011,66194,2015,3,1,18.2,1.0,Y
IDCJAC0011,66194,2015,3,2,15.9,1.0,Y
IDCJAC0011,66194,2015,3,3,12.9,1.0,Y
IDCJAC0011,66194,2015,3,4,19.6,1.0,Y
IDCJAC0011,66194,2015,3,5,15.3,1.0,Y
IDCJAC0011,66194,2015,3,6,11.9,1.0,Y
IDCJAC0011,66194,2015,3,7,15.3,1.0,Y
IDCJAC0011,66194,2015,3,8,17.4,1.0,Y
IDCJAC0011,66194,2015,3,9,16.7,1.0,Y
IDCJAC0011,66194,2015,3,10,19.3,1.0,Y
IDCJAC0011,66194,2015,3,11,18.5,1.0,Y
IDCJAC0011,66194,2015,3,12,17.5,1.0,Y
IDCJAC0011,66194,2015,3,13,18.6,1.0,Y
IDCJAC0011,66194,2015,3,14,11.3,1.0,Y
IDCJAC0011,66194,2015,3,15,14.3,1.0,Y
IDCJAC0011,66194,2015,3,16,13.8,1.0,Y
IDCJAC0011,66194,2015,3,17,9.6,1.0,Y
IDCJAC0011,66194,2015,3,18,15.2,1.0,Y
IDCJAC0011,66194,2015,3,19,14.7,1.0,Y
IDCJAC0011,66194,2015,3,20,15.5,1.0,Y
IDCJAC0011,66194,2015,3,21,17.1,1.0,Y
IDCJAC0011,66194,2015,3,22,16.7,1.0,Y
IDCJAC0011,66194,2015,3,23,14.5,1.0,Y
IDCJAC0011,66194,2015,3,24,16.4,1.0,Y
IDCJAC0011,66194,2015,3,25,12.1,1.0,Y
IDCJAC0011,66194,2015,3,26,13.3,1.0,Y
IDCJAC0011,66194,2015,3,27,12.0,1.0,Y
IDCJAC0011,66194,2015,3,28,6.9,1.0,Y
IDCJAC0011,66194,2015,3,29,10.6,1.0,Y
IDCJAC0011,66194,2015,3,30,14.9,1.0,Y
IDCJAC0011,66194,2015,3,31,15.8,1.0,Y
IDCJAC0011,66194,2015,4,1,13.8,1.0,Y
IDCJAC0011,66194,2015,4,2,13.7,1.0,Y
IDCJAC0011,66194,2015,4,3,15.9,1.0,Y
IDCJAC0011,66194,2015,4,4,16.0,1.0,Y
