Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066194,2015,01,01,29.4,1,Y
IDCJAC0010,066194,2015,01,02,27.1,1,Y
IDCJAC0010,066194,2015,01,03,29.9,1,Y
IDCJAC0010,066194,2015,01,04,33.2,1,Y
IDCJAC0010,066194,2015,01,05,25.1,1,Y
IDCJAC0010,066194,2015,01,06,28.2,1,Y
IDCJAC0010,066194,2015,01,07,29.8,1,Y
IDCJAC0010,066194,2015,01,08,29.0,1,Y
IDCJAC0010,066194,2015,01,09,33.5,1,Y
IDCJAC0010,066194,2015,01,10,28.9,1,Y
IDCJAC0010,066194,2015,01,11,22.6,1,Y
IDCJAC0010,066194,2015,01,12,23.8,1,Y
IDCJAC0010,066194,2015,01,13,28.0,1,Y
IDCJAC0010,066194,2015,01,14,32.5,1,Y
IDCJAC0010,066194,2015,01,15,27.3,1,Y
IDCJAC0010,066194,2015,01,16,30.2,1,Y
IDCJAC0010,066194,2015,01,17,34.2,1,Y
IDCJAC0010,066194,2015,01,18,27.9,1,Y
IDCJAC0010,066194,2015,01,19,22.0,1,Y
IDCJAC0010,066194,2015,01,20,25.4,1,Y
IDCJAC0010,066194,2015,01,21,28.1,1,Y
IDCJAC0010,066194,2015,01,22,28.5,1,Y
IDCJAC0010,066194,2015,01,23,30.1,1,Y
IDCJAC0010,066194,2015,01,24,30.6,1,Y
IDCJAC0010,066194,2015,01,25,35.9,1,Y
IDCJAC0010,066194,2015,01,26,20.4,1,Y
IDCJAC0010,066194,2015,01,27,19.8,1,Y
IDCJAC0010,066194,2015,01,28,20.9,1,Y
IDCJAC0010,066194,2015,01,29,22.9,1,Y
IDCJAC0010,066194,2015,01,30,26.5,1,Y
IDCJAC0010,066194,2015,01,31,25.0,1,Y
IDCJAC0010,066194,2015,02,01,25.4,1,Y
IDCJAC0010,066194,2015,02,02,23.9,1,Y
IDCJAC0010,066194,2015,02,03,23.7,1,Y
IDCJAC0010,066194,2015,02,04,24.1,1,Y
IDCJAC0010,066194,2015,02,05,22.8,1,Y
IDCJAC0010,066194,2015,02,06,24.4,1,Y
IDCJAC0010,066194,2015,02,07,26.9,1,Y
IDCJAC0010,066194,2015,02,08,33.2,1,Y
IDCJAC0010,066194,2015,02,09,25.7,1,Y
IDCJAC0010,066194,2015,02,10,28.1,1,Y
IDCJAC0010,066194,2015,02,11,28.8,1,Y
IDCJAC0010,066194,2015,02,12,29.1,1,Y
