Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,66037,2022,01,01,28.5,1,Y
IDCJAC0010,66037,2022,01,02,29.9,1,Y
IDCJAC0010,66037,2022,01,03,27.9,1,Y
IDCJAC0010,66037,2022,01,04,28.1,1,Y
IDCJAC0010,66037,2022,01,05,26.7,1,Y
IDCJAC0010,66037,2022,01,06,28.1,1,Y
IDCJAC0010,66037,2022,01,07,27.5,1,Y
IDCJAC0010,66037,2022,01,08,31.3,1,Y
IDCJAC0010,66037,2022,01,09,26.2,1,Y
IDCJAC0010,66037,2022,01,10,28.9,1,Y
IDCJAC0010,66037,2022,01,11,28.8,1,Y
IDCJAC0010,66037,2022,01,12,25.0,1,Y
IDCJAC0010,66037,2022,01,13,25.4,1,Y
IDCJAC0010,66037,2022,01,14,28.8,1,Y
IDCJAC0010,66037,2022,01,15,29.3,1,Y
IDCJAC0010,66037,2022,01,16,26.3,1,Y
IDCJAC0010,66037,2022,01,17,31.1,1,Y
IDCJAC0010,66037,2022,01,18,23.4,1,Y
IDCJAC0010,66037,2022,01,19,23.2,1,Y
IDCJAC0010,66037,2022,01,20,25.4,1,Y
IDCJAC0010,66037,2022,01,21,25.0,1,Y
IDCJAC0010,66037,2022,01,22,24.1,1,Y
IDCJAC0010,66037,2022,01,23,24.6,1,Y
IDCJAC0010,66037,2022,01,24,25.9,1,Y
IDCJAC0010,66037,2022,01,25,26.5,1,Y
IDCJAC0010,66037,2022,01,26,27.2,1,Y
IDCJAC0010,66037,2022,01,27,29.7,1,Y
IDCJAC0010,66037,2022,01,28,30.0,1,Y
IDCJAC0010,66037,2022,01,29,30.2,1,Y
IDCJAC0010,66037,2022,01,30,29.7,1,Y
IDCJAC0010,66037,2022,01,31,30.3,1,Y
IDCJAC0010,66037,2022,02,01,35.9,1,Y
IDCJAC0010,66037,2022,02,02,21.4,1,Y
IDCJAC0010,66037,2022,02,03,22.0,1,Y
IDCJAC0010,66037,2022,02,04,24.2,1,Y
IDCJAC0010,66037,2022,02,05,25.2,1,Y
IDCJAC0010,66037,2022,02,06,25.9,1,Y
IDCJAC0010,66037,2022,02,07,23.9,1,Y
IDCJAC0010,66037,2022,02,08,25.0,1,Y
IDCJAC0010,66037,2022,02,09,31.1,1,Y
IDCJAC0010,66037,2022,02,10,33.5,1,Y
